안전표지일련번호,도로종류,도로노선번호,도로노선명,도로노선방향,도로형태,차로수,도로폭,소재지도로명주소,소재지지번주소,위도,경도,안전표지구분,안전표지종별일련번호,주행제한속도,안전표지설명,지주형식,제2외국어표기여부,설치일자,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
100518,시도,7번,발한로,3,1,4,14,강원특별자치도 동해시 발한로 157,강원특별자치도 동해시 발한동 702-43,37.5461501,129.1040201,2,224,,최고속도제한,2, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100014,시도,7번,동굴3길,3,1,1,7.8,,강원특별자치도 동해시 천곡동 1036,37.5188701,129.1133201,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100015,시도,7번,동굴3길,3,1,1,7.8,,강원특별자치도 동해시 천곡동 1036,37.5188701,129.1133201,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100500,시도,7번,봉오주택길,3,1,2,8.6,,강원특별자치도 동해시 용정동 268,37.5107101,129.1208601,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100505,시도,7번,해안로,3,1,4,18.5,,강원특별자치도 동해시 천곡동 1090-14,37.5220801,129.1200001,1,104,,ㅏ자형교차로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100506,시도,7번,감추3길,3,1,1,10,,강원특별자치도 동해시 천곡동 1090-27,37.5159901,129.1205501,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100508,시도,7번,봉오주택길,3,1,2,8.9,,강원특별자치도 동해시 용정동 268,37.5107101,129.1208601,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100512,시도,7번,봉오주택길,3,1,2,9.2,,강원특별자치도 동해시 용정동 268,37.5107101,129.1208601,1,102,,T자형교차로,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160612,시도,7번,대동로,3,2,4,16.9,,강원특별자치도 동해시 구미동 615,37.4784301,129.1304701,1,132,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160610,시도,7번,대동로,3,1,4,16.9,,강원특별자치도 동해시 구미동 615,37.4784301,129.1304701,3,325,,자전거횡단도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160609,시도,7번,구미택지1길,3,2,4,14.3,,강원특별자치도 동해시 구미동 617,37.4768201,129.1288101,3,325,,자전거횡단도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160608,시도,7번,구미택지1길,3,1,4,14,,강원특별자치도 동해시 구미동 617,37.4768201,129.1288101,3,303,,자전거및보행자겸용도로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160607,시도,7번,구미택지1길,3,1,4,14.1,,강원특별자치도 동해시 구미동 617,37.4768201,129.1288101,3,303,,자전거및보행자겸용도로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160606,시도,7번,구미택지1길,3,1,4,14.1,,강원특별자치도 동해시 구미동 617,37.4768201,129.1288101,1,132,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160605,시도,7번,공단8로,3,2,4,19.9,,강원특별자치도 동해시 구호동 283,37.4765201,129.1323301,3,303,,자전거및보행자겸용도로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160604,시도,7번,대동로,3,2,4,17,,강원특별자치도 동해시 구미동 115-2,37.4762401,129.1323601,2,221,,차높이제한,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160603,시도,7번,동해대로,3,2,4,17.8,,강원특별자치도 동해시 대구동 534-10,37.4756301,129.1325401,1,132,,횡단보도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160602,시도,7번,동해대로,3,2,4,21.6,,강원특별자치도 동해시 대구동 326-4,37.4753901,129.1326201,3,325,,자전거횡단도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160601,시도,7번,동해대로,3,1,4,19,,강원특별자치도 동해시 대구동 535-4,37.4742301,129.1331701,3,303,,자전거및보행자겸용도로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160600,시도,7번,공단8로,3,1,4,13.7,,강원특별자치도 동해시 구호동 270,37.4758801,129.1331201,3,325,,자전거횡단도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160598,시도,7번,공단12로,3,1,4,14,,강원특별자치도 동해시 구호동 262,37.4815101,129.1361601,3,322,,횡단보도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160597,시도,7번,공단12로,3,1,4,14,,강원특별자치도 동해시 구호동 262,37.4815101,129.1361601,3,322,,횡단보도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160576,시도,7번,공단1로,3,1,6,22.7,,강원특별자치도 동해시 구호동 266,37.4853901,129.1491101,3,303,,자전거및보행자겸용도로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160575,시도,7번,공단1로,3,1,6,22.7,,강원특별자치도 동해시 구호동 266,37.4853901,129.1491101,3,303,,자전거및보행자겸용도로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160574,시도,7번,공단8로,3,2,4,13.9,강원특별자치도 동해시 공단4로 68,강원특별자치도 동해시 구호동 245-3,37.4798601,129.1412601,3,325,,자전거횡단도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160573,시도,7번,공단8로,3,2,4,13.9,강원특별자치도 동해시 공단4로 68,강원특별자치도 동해시 구호동 245-3,37.4798601,129.1412601,3,303,,자전거및보행자겸용도로,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160648,시도,7번,공단9로,3,2,4,17.8,,강원특별자치도 동해시 구호동 269,37.4831101,129.1459601,3,325,,자전거횡단도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160647,시도,7번,공단9로,3,2,4,18,,강원특별자치도 동해시 구호동 269,37.4831101,129.1459601,3,303,,자전거및보행자겸용도로,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160646,시도,7번,공단1로,3,2,6,22.9,,강원특별자치도 동해시 구호동 266,37.4853901,129.1491101,3,325,,자전거횡단도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160645,시도,7번,공단4로,3,1,2,8.5,,강원특별자치도 동해시 구미동 244-2,37.4816301,129.1307301,4,427,,속도제한해제,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160644,시도,7번,공단10로,3,1,4,14,,강원특별자치도 동해시 구미동 524-30,37.4808601,129.1297101,3,303,,자전거및보행자겸용도로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160634,시도,7번,공단9로,3,1,4,17.9,,강원특별자치도 동해시 구호동 269,37.4831101,129.1459601,1,114,,좌우로 이중굽은도로,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160633,시도,7번,공단1로,3,1,6,22.8,,강원특별자치도 동해시 구호동 266,37.4853901,129.1491101,1,134,,자전거,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160632,시도,7번,공단1로,3,1,6,22.8,,강원특별자치도 동해시 구호동 266,37.4853901,129.1491101,4,415,,자전거주의,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160630,시도,7번,구미택지1길,3,2,4,14,,강원특별자치도 동해시 구미동 614,37.4798901,129.1275401,3,303,,자전거및보행자겸용도로,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160628,시도,7번,구미택지1길,3,1,4,14,,강원특별자치도 동해시 구미동 614,37.4798901,129.1275401,1,132,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160627,시도,7번,구미택지1길,3,1,4,14,,강원특별자치도 동해시 구미동 614,37.4798901,129.1275401,3,303,,자전거및보행자겸용도로,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160626,시도,7번,구미택지1길,3,1,4,14,,강원특별자치도 동해시 구미동 614,37.4798901,129.1275401,3,303,,자전거및보행자겸용도로,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160623,시도,7번,구미택지1길,3,1,4,14,,강원특별자치도 동해시 구미동 617,37.4768201,129.1288101,1,132,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160622,시도,7번,구미택지1길,3,1,4,14,,강원특별자치도 동해시 구미동 617,37.4768201,129.1288101,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160621,시도,7번,구미택지1길,3,1,4,14,,강원특별자치도 동해시 구미동 617,37.4768201,129.1288101,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160620,시도,38번,구미택지1길,3,1,1,2.8,,강원특별자치도 동해시 단봉동 134-2,37.4767101,129.1267601,2,221,,차높이제한,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160619,시도,7번,강원남부로,3,1,1,2.9,,강원특별자치도 동해시 단봉동 805-1,37.4758701,129.1256001,2,221,,차높이제한,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
20160613,시도,7번,대동로,3,1,4,17.1,,강원특별자치도 동해시 구미동 615,37.4784301,129.1304701,3,322,,횡단보도,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100501,시도,7번,동굴로,3,2,4,16.7,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100502,시도,7번,항골길,3,2,4,13.9,,강원특별자치도 동해시 천곡동 1090-21,37.5202801,129.1189101,2,218,,정차주차금지,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100503,시도,7번,항골길,3,2,4,13.9,,강원특별자치도 동해시 천곡동 1090-21,37.5202801,129.1189101,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100504,시도,7번,해안로,3,1,4,18.5,,강원특별자치도 동해시 천곡동 1090-14,37.5220801,129.1200001,2,224,,최고속도제한,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100514,시도,7번,동호로,3,1,4,13.8,,강원특별자치도 동해시 발한동 131,37.5442901,129.1027801,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100515,시도,7번,발한로,3,1,4,13.9,강원특별자치도 동해시 발한로 157,강원특별자치도 동해시 발한동 702-43,37.5461501,129.1040201,4,427,,해제,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100517,시도,7번,동호로,3,2,4,14.6,,강원특별자치도 동해시 발한동 570-1,37.5434801,129.1019901,1,132,,횡단보도,2, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100523,시도,7번,동호로,3,2,4,14.6,,강원특별자치도 동해시 발한동 570-1,37.5434801,129.1019901,2,226,,서행,2, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100520,시도,7번,동호로,3,2,4,15.6,,강원특별자치도 동해시 발한동 570-3,37.5438801,129.1021401,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100530,시도,7번,동굴로,3,2,4,14,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100533,시도,7번,한섬로,3,2,4,13.8,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100534,시도,7번,한섬로,3,2,4,19,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100571,시도,7번,항골길,3,1,1,9.7,,강원특별자치도 동해시 천곡동 1090-20,37.5198401,129.1168601,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100583,시도,7번,해안로,3,1,4,20.8,,강원특별자치도 동해시 천곡동 239-1,37.5277201,129.1193401,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100607,시도,7번,한섬로,3,2,4,17,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,1,101,,┼자형교차로,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100535,시도,7번,한섬로,3,2,4,13.9,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100536,시도,7번,한섬로,3,2,4,13.9,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,2,218,,정차주차금지,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100537,시도,7번,한섬로,3,2,4,17,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,2,218,,정차주차금지,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100538,시도,7번,한섬로,3,2,4,13.8,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,3,319,,공영유료주차장,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100549,시도,7번,중앙로,3,1,1,28,,강원특별자치도 동해시 용정동 487,37.5117201,129.1193201,1,133,,어린이보호,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100554,시도,7번,중앙로,3,2,2,14,,강원특별자치도 동해시 천곡동 1090-30,37.5151101,129.1210401,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100555,시도,7번,중앙로,3,1,4,21.9,,강원특별자치도 동해시 천곡동 1090-30,37.5151101,129.1210401,1,133,,어린이보호,2, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100612,시도,7번,중앙로,3,2,6,21.8,,강원특별자치도 동해시 천곡동 1090-30,37.5151101,129.1210401,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100615,시도,7번,한섬로,3,2,4,19.4,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100622,시도,7번,한섬로,3,2,4,19.3,,강원특별자치도 동해시 천곡동 1090-16,37.5224401,129.1169301,3,309,,직진및좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100560,시도,7번,해안로,3,1,4,18.5,,강원특별자치도 동해시 천곡동 1090-14,37.5220801,129.1200001,2,224,,최고속도제한,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100565,시도,7번,동굴로,3,1,4,14,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100566,시도,7번,감추2길,3,1,1,4.6,,강원특별자치도 동해시 천곡동 979-1,37.5159701,129.1182601,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100569,시도,7번,항골길,3,1,1,14.6,,강원특별자치도 동해시 천곡동 1090-20,37.5198401,129.1168601,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100570,시도,7번,동굴로,3,1,4,14,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100651,시도,7번,동굴로,3,2,4,40,,강원특별자치도 동해시 천곡동 1099,37.5153901,129.1051101,2,221,,차높이제한,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100661,시도,7번,동굴로,3,1,4,13.7,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,2,224,,최고속도제한,2, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100663,시도,7번,동굴로,3,1,4,14,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,3,307,,비보호좌회전,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100667,시도,7번,한섬로,3,1,3,14,,강원특별자치도 동해시 천곡동 1090-38,37.5202901,129.1128801,4,218,,정차주차금지,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100668,시도,7번,한섬로,3,1,3,14,,강원특별자치도 동해시 천곡동 1090-38,37.5202901,129.1128801,2,218,,정차주차금지,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100717,시도,7번,가마골길,3,1,1,4.3,,강원특별자치도 동해시 부곡동 12-26,37.5377401,129.1099101,1,129,,과속방지턱,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100718,시도,7번,가마골길,3,1,1,7.4,,강원특별자치도 동해시 부곡동 12-26,37.5377401,129.1099101,1,129,,과속방지턱,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100676,시도,7번,동굴로,3,1,4,13.9,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,2,224,,최고속도제한,2, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100682,시도,7번,동해대로,1,1,1,6.4,,강원특별자치도 동해시 지흥동 산21-1,37.5120601,129.1036501,2,228,,양보,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100684,시도,7번,임항로,3,2,4,18.5,강원특별자치도 동해시 임항로 71-1,강원특별자치도 동해시 부곡동 5-77,37.5393301,129.1096601,2,226,,서행,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100690,시도,7번,임항로,3,1,1,4.9,,강원특별자치도 동해시 부곡동 7-76,37.5389701,129.1097701,2,226,,서행,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100719,시도,7번,부곡로,3,1,1,7.4,,강원특별자치도 동해시 부곡동 34-3,37.5374301,129.1099801,1,129,,과속방지턱,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100720,시도,7번,가마골길,3,1,1,7.3,,강원특별자치도 동해시 부곡동 12-18,37.5380901,129.1096960081,1,129,,과속방지턱,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100722,시도,7번,부곡로,1,1,1,4,,강원특별자치도 동해시 부곡동 30-8,37.5378501,129.1093001,1,129,,과속방지턱,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100723,시도,7번,가마골길,3,1,1,6.5,,강원특별자치도 동해시 부곡동 140-1,37.5371968225,129.1069901,1,129,,과속방지턱,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100758,시도,7번,향로봉길,3,1,4,13.7,,강원특별자치도 동해시 발한동 562-1,37.5442301,129.1016401,2,224,,최고속도제한,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100695,시도,7번,동굴로,3,1,4,14,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100696,시도,7번,동굴로,3,1,4,13.9,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100700,시도,7번,임항로,3,2,4,17.9,강원특별자치도 동해시 임항로 1,강원특별자치도 동해시 부곡동 166,37.5389301,129.1022501,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100705,시도,7번,임항로,3,1,4,19.8,강원특별자치도 동해시 임항로 1,강원특별자치도 동해시 부곡동 166,37.5389301,129.1022501,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100710,시도,7번,동굴로,3,1,4,14,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,1,133,,어린이보호,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100712,시도,7번,동굴로,3,1,4,13.9,,강원특별자치도 동해시 천곡동 1090-32,37.5177501,129.1144001,1,133,,어린이보호,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100759,시도,7번,동호로,3,1,4,14,강원특별자치도 동해시 동호로 10-1,강원특별자치도 동해시 발한동 568-4,37.5445101,129.1012401,4,427,,해제,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100760,시도,7번,향로봉길,3,1,4,13.8,,강원특별자치도 동해시 발한동 562-1,37.5442301,129.1016401,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100761,시도,7번,향로봉길,3,1,4,14,,강원특별자치도 동해시 발한동 562-1,37.5442301,129.1016401,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100762,시도,7번,향로봉길,3,1,4,15.1,,강원특별자치도 동해시 발한동 562-1,37.5442301,129.1016401,3,322,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100763,시도,7번,향로봉길,3,1,4,14,,강원특별자치도 동해시 발한동 562-1,37.5442301,129.1016401,1,132,,횡단보도,1, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
100764,시도,7번,동해대로,2,1,1,4.8,,강원특별자치도 동해시 지흥동 275,37.5122801,129.1003973577,2,221,,차높이제한,3, ,,강원특별자치도 동해시청,033-530-2520,2026-01-16,4211000,강원특별자치도 동해시
