보행자우선도로명,시도명,시군구명,보행자우선도로시작점위도,보행자우선도로시작점경도,보행자우선도로종료점위도,보행자우선도로종료점경도,보행자우선도로지정일자,연장거리,도로폭,보행자우선도로지정목적,보호구역지정여부,자동차운행속도제한속도,일방통행적용여부,통행제한차량,노상주차허용여부,보행자통행유발시설현황,보행자교통사고발생건수,보행자사망사고건수,속도저감시설,교통안내시설,보행안전시설,보행약자지원시설,보행자편익시설,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
정문길,전북특별자치도,남원시,35.40628851,127.380716,35.40501589,127.3807049,2023-01-13,150,5.7,전통문화 환경보전 및 안전 확보,Y,30,N,제한없음,N,문화관광시설,,,,,,,,전북특별자치도 남원시청,063-620-6542,2026-01-30,4701000,전북특별자치도 남원시
의병대로 13길+풍양로 9길+독순로11길,충청북도,제천시,37.136906,128.208017,37.141451,128.210385,,532,12,보행자 안전 확보,N,30,N,해당없음,N,밀집상가,,,,,,,,충청북도 제천시청,043-641-6150,2025-12-24,4400000,충청북도 제천시
쌍미천로151번길 22~쌍미천로 151,부산광역시,연제구,35.18615078,129.0859882,35.18612172,129.087151,2022-07-13,112,6,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
쌍미천로151번길 50~쌍미천로 151번길 28,부산광역시,연제구,35.18619522,129.0843236,35.18616089,129.0857936,2022-07-13,140,6,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
쌍미천로155번길 21~쌍미천로 155,부산광역시,연제구,35.18661706,129.0859919,35.18659031,129.087152,2022-07-13,112,6,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
고분로13번길 20~쌍미천로155번길 27,부산광역시,연제구,35.18665024,129.0847194,35.18662224,129.0858219,2022-07-13,105,6,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
고분로31번길 32~쌍미천로161번길 4,부산광역시,연제구,35.18708531,129.0860121,35.18705823,129.0871914,2022-07-13,112,6,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
고분로13번길 38~쌍미천로161번길 30,부산광역시,연제구,35.18711347,129.0851621,35.18709758,129.085823,2022-07-13,68,6,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,1,0,고원식횡단보도,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
반송로 50~반송로 50-22,부산광역시,연제구,35.18903166,129.0856282,35.18841074,129.0863615,2022-07-13,98,8,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,고원식횡단보도,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
반송로 30~고분로13번길 25,부산광역시,연제구,35.18788749,129.084172,35.18715698,129.0849903,2022-07-13,111,8,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,고원식횡단보도,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
고분로13번길 5-20~반송로 18,부산광역시,연제구,35.18698352,129.0830265,35.1865734,129.0830325,2022-07-13,47,4,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
고분로 7-2~고분로13번길 3,부산광역시,연제구,35.1864751,129.0831151,35.18608341,129.0840134,2022-07-13,101,4.5,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
반송로 12~고분로 5,부산광역시,연제구,35.18677436,129.082744,35.18596228,129.0830663,2022-07-13,102,6,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,1,0,고원식횡단보도,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
고분로 15~고분로 19,부산광역시,연제구,35.18602029,129.0841462,35.18582592,129.0845748,2022-07-13,46,5,교통사고 예방 및 보행자 안전 확보,N,30,N,해당사항 없음,N,편의시설 등,0,0,,표지판+노면표시(보행자 우선도로 시작/해제),표지판(보행자 우선도로 시작/해제 표지판),,,부산광역시 연제구청,051-665-4552,2026-01-13,3370000,부산광역시 연제구
해운대로608번길 보행자우선도로,부산광역시,해운대구,35.160799,129.159432,35.161435,129.160618,2022-07-13,123,8,안전한 보행환경 조성,N,30,N,없음,N,숙박시설+식당,,0,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
해운대로608번길 보행자우선도로,부산광역시,해운대구,35.161279,129.159032,35.161966,129.160194,2022-07-13,123,7.5,안전한 보행환경 조성,N,30,N,없음,N,숙박시설+식당,,0,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
해운대로608번길 보행자우선도로,부산광역시,해운대구,35.161664,129.158715,35.162298,129.159857,2022-07-13,123,5.5,안전한 보행환경 조성,N,30,N,없음,N,숙박시설+식당,,2,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
해운대로608번길 보행자우선도로,부산광역시,해운대구,35.162063,129.158382,35.162703,129.159547,2022-07-13,123,4.5,안전한 보행환경 조성,N,30,N,없음,N,숙박시설+식당,,2,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
해운대로608번길 보행자우선도로,부산광역시,해운대구,35.162417,129.158045,35.160089,129.159222,2022-07-13,300,8.5,안전한 보행환경 조성,N,30,N,없음,N,숙박시설+식당,,13,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
해리단길 보행자우선도로,부산광역시,해운대구,35.1650658,129.157952,35.1646753,129.158117,2022-07-12,56,15,보행자 안전 확보,N,30,N,없음,N,식당,,0,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
해리단길 보행자우선도로,부산광역시,해운대구,35.1646873,129.157953,35.165505,129.159094,2022-07-12,170,3.8,보행자 안전 확보,N,30,N,없음,N,식당,,0,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
해리단길 보행자우선도로,부산광역시,해운대구,35.1649062,129.157805,35.164486,129.158123,2022-07-12,70,9.5,보행자 안전 확보,N,30,N,없음,N,식당,,0,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
해리단길 보행자우선도로,부산광역시,해운대구,35.1637879,129.156843,35.1651945,129.159327,2022-07-12,297,9.6,보행자 안전 확보,N,30,N,없음,N,식당,,0,,,,,,부산광역시 해운대구청,051-749-4514,2026-03-05,3330000,부산광역시 해운대구
전리단길 보행자 우선도로(2구간),부산광역시,부산진구,35.160514,129.064803,35.157882,129.064811,2022-07-13,308,8,"해당 도로는 다른 도로에 비해 차량 통행량도 많은 편으로, 보행자가 교통사고의 위험에 자주 노출되어 보행자우선도로 지정을 통한 안전한 보행환경 조성이 필요함",N,30,Y,해당없음,N,부산진소방서,,,,보행자 우선도로 알림 표지판 등,,,,부산광역시 부산진구청,051-605-4554,2026-03-06,3290000,부산광역시 부산진구
전리단길 보행자 우선도로(1구간),부산광역시,부산진구,35.159347,129.063851,35.1579108,129.063551,2022-07-13,165,8,"해당 도로는 다른 도로에 비해 차량 통행량도 많은 편으로, 보행자가 교통사고의 위험에 자주 노출되어 보행자우선도로 지정을 통한 안전한 보행환경 조성이 필요함",N,30,Y,해당없음,N,전포초등학교,,,,보행자 우선도로 알림 표지판 등,,,,부산광역시 부산진구청,051-605-4554,2026-03-06,3290000,부산광역시 부산진구
전포카페거리 보행자 우선도로(2구간),부산광역시,부산진구,35.155329,129.063004,35.154566,129.063027,2022-07-13,87,8,"해당 도로는 다른 도로에 비해 차량 통행량도 많은 편으로, 보행자가 교통사고의 위험에 자주 노출되어 보행자우선도로 지정을 통한 안전한 보행환경 조성이 필요함",N,30,N,해당없음,N,전포성당,,,,보행자 우선도로 알림 표지판 등,,,,부산광역시 부산진구청,051-605-4554,2026-03-06,3290000,부산광역시 부산진구
전포카페거리 보행자 우선도로(1구간),부산광역시,부산진구,35.156446,129.064046,35.1547507,129.064146,2022-07-13,211,8,"해당 도로는 다른 도로에 비해 차량 통행량도 많은 편으로, 보행자가 교통사고의 위험에 자주 노출되어 보행자우선도로 지정을 통한 안전한 보행환경 조성이 필요함",N,30,Y,해당없음,N,놀이마루,,,과속방지턱 1개소,보행자 우선도로 알림 표지판 등,,,,부산광역시 부산진구청,051-605-4554,2026-03-06,3290000,부산광역시 부산진구
정공단로(3구간),부산광역시,동구,35.135089,129.054146,35.134833,129.054538,2022-07-15,60,6,보행자 보호,N,30,N,제한없음,N,병원+학교+유치원,,,,,,,,부산광역시 동구청,051-440-4555,2026-03-20,3270000,부산광역시 동구
정공단로(2구간),부산광역시,동구,35.135937,129.055035,35.135843,129.055506,2022-07-14,60,6,보행자 보호,N,30,N,제한없음,N,병원+학교+유치원,,,,,,,,부산광역시 동구청,051-440-4555,2026-03-20,3270000,부산광역시 동구
정공단로(1구간),부산광역시,동구,35.133398,129.052632,35.136522,129.056239,2022-07-13,540,6,보행자 보호,Y,30,Y,제한없음,N,병원+학교+유치원,,,,,,,,부산광역시 동구청,051-440-4555,2026-03-20,3270000,부산광역시 동구
동작 사당로47길,서울특별시,동작구,37.487603,126.966697,37.486596,126.965541,2018-09-01,150,5,주거지역 안전확보,N,30,N,대형차,Y,학교,0,0,과속방지턱,보행자안내표지,과속방지턱,,,서울특별시 동작구청,02-820-4026,2026-02-26,3190000,서울특별시 동작구
동작 국사봉2길,서울특별시,동작구,37.498489,126.928873,37.496259,126.928467,2016-10-01,255,6,주거지역 안전확보,N,30,Y,대형차,Y,학교,0,0,과속방지턱,보행자안내표지,과속방지턱,,,서울특별시 동작구청,02-820-4026,2026-02-26,3190000,서울특별시 동작구
강서로48길,서울특별시,강서구,37.552882,126.837342,37.552595,126.839803,2025-07-17,230,7.5,안전 확보,N,30,N,없음,Y,주택가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
곰달래로49길,서울특별시,강서구,37.531889,126.858061,37.534660,126.856315,2025-02-20,360,8.5,안전 확보,N,30,N,없음,Y,상가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
양천로60길,서울특별시,강서구,37.5557845,126.857732,37.5561988,126.857618,2025-04-25,80,8.5,안전 확보,N,30,N,없음,Y,상가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
화곡로64길,서울특별시,강서구,37.557239,126.853553,37.5567542,126.854969,2024-04-25,180,7.5,안전 확보,N,30,N,없음,Y,상가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
등촌로53길,서울특별시,강서구,37.54918244,126.8633151,37.54979892,126.8613161,2023-08-10,220,8,안전 확보,N,30,N,없음,Y,주택가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
양천로,서울특별시,강서구,37.55046161,126.8730195,37.55079381,126.8734368,2023-07-06,70,6,안전 확보,N,30,N,없음,N,상가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
양천로75길,서울특별시,강서구,37.54988498,126.8749712,37.55012035,126.8750784,2023-07-06,50,6,안전 확보,N,30,N,없음,N,상가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
화곡로61길,서울특별시,강서구,37.55863787,126.8451483,37.55820498,126.8469708,2022-12-01,150,8,안전 확보,N,30,N,없음,Y,상가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
초록마을로,서울특별시,강서구,37.5423444,126.8491093,37.54191099,126.8501474,2018-12-01,120,8,안전 확보,N,30,N,없음,Y,주택가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
공항대로38길,서울특별시,강서구,37.557431,126.838811,37.557311,126.843531,2020-12-04,430,7,안전 확보,N,30,N,없음,Y,주택가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
강서로52길,서울특별시,강서구,37.55803043,126.8384314,37.55749617,126.8431978,2020-12-03,450,8,안전 확보,N,30,N,없음,Y,상가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
강서로54길,서울특별시,강서구,37.55903308,126.8387803,37.55847143,126.8445764,2020-12-02,550,8,안전 확보,N,30,N,없음,Y,상가,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
강서로45가길,서울특별시,강서구,37.54785055,126.8353886,37.54713791,126.8353642,2019-12-01,150,8,안전 확보,N,30,N,없음,Y,전통시장,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
까치산로24길,서울특별시,강서구,37.54974507,126.8517087,37.54854903,126.8534657,2019-12-01,220,7,안전 확보,N,30,N,없음,Y,학교+공원,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
등촌로13길,서울특별시,강서구,37.53560779,126.8610583,37.53592327,126.8631757,2018-12-01,180,7,안전 확보,N,20,N,없음,Y,학교,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
까치산로4길,서울특별시,강서구,37.54221143,126.843786,37.54197026,126.844212,2015-12-01,140,10,안전 확보,N,30,N,없음,Y,근린공원,,,스텐실포장,,,,,서울특별시 강서구청,02-2600-4136,2026-01-13,3150000,서울특별시 강서구
중랑구 봉우재로14길,서울특별시,중랑구,37.590478,127.077739,37.589019,127.078187,2024-11-07,165,10,보행자 중심의 쾌적한 도로환경 조성,N,30,N,없음,N,골목형상가,,,,,,,,서울특별시 중랑구청,02-2094-2585,2026-02-11,3060000,서울특별시 중랑구
중랑구 동일로139길,서울특별시,중랑구,37.603557,127.079017,37.603364,127.077427,2024-10-24,120,10,보행자 중심의 쾌적한 도로환경 조성,N,30,N,없음,N,역세권,,,,,,,,서울특별시 중랑구청,02-2094-2585,2026-02-11,3060000,서울특별시 중랑구
중랑구 동일로163길,서울특별시,중랑구,37.611896,127.075712,37.611703,127.074153,2024-04-18,130,7.5,보행자 중심의 쾌적한 도로환경 조성,N,30,Y,없음,N,골목형상가,,,,,,,,서울특별시 중랑구청,02-2094-2585,2026-02-11,3060000,서울특별시 중랑구
중랑구 망우로55길,서울특별시,중랑구,37.598835,127.092913,37.599282,127.094873,2022-12-15,190,7.5,보행자 중심의 쾌적한 도로환경 조성,N,30,Y,없음,N,역세권,,,,,,,,서울특별시 중랑구청,02-2094-2585,2026-02-11,3060000,서울특별시 중랑구
중랑구 상봉중앙로8나길,서울특별시,중랑구,37.601565,127.090959,37.601054,127.091063,2022-12-15,55,6,보행자 중심의 쾌적한 도로환경 조성,N,30,N,없음,N,역세권,,,,,,,,서울특별시 중랑구청,02-2094-2585,2026-02-11,3060000,서울특별시 중랑구
중랑구 면목로48길,서울특별시,중랑구,37.582258,127.088629,37.581847,127.093369,2022-12-15,410,8,보행자 중심의 쾌적한 도로환경 조성,N,30,N,없음,N,역세권+편의시설,,,,,,,,서울특별시 중랑구청,02-2094-2585,2026-02-11,3060000,서울특별시 중랑구
사하로197번길,부산광역시,사하구,35.09885074,128.99175585,35.09933275,128.99327663,2022-07-13,168,8,안전한 보행환경 조성,N,30,N,없음,N,상가밀집구역,,,과속방지턱,보행자우선도로표지판,,,,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
낙동대로249번길,부산광역시,사하구,35.09908186,128.98995867,35.09771327,128.99070798,2022-07-13,192,8,안전한 보행환경 조성,N,30,N,없음,N,상가밀집구역,,,과속방지턱,보행자우선도로표지판,,,,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
성수이로12길,서울특별시,성동구,37.5398939,127.055558,37.5392534,127.057267,,220,8,보행 안전 확보,Y,30,N,없음,Y,대형마트+학교,,,과속방지턱+디자인포장,표지판,,,,서울특별시 성동구청,02-2286-6320,2025-12-23,3030000,서울특별시 성동구
성덕정17길,서울특별시,성동구,37.5373621,127.055421,37.538683,127.055196,,150,6,보행 안전 확보,Y,30,N,없음,Y,대형마트+공동주택,,,과속방지턱+디자인포장+지그재그차선,표지판,,,,서울특별시 성동구청,02-2286-6320,2025-12-23,3030000,서울특별시 성동구
성수일로12길,서울특별시,성동구,37.5471743,127.054681,37.5482472,127.052973,,150,10,보행 안전 확보,Y,30,N,없음,Y,상가+공동주택+지하철역,,,과속방지턱+미끄럼방지포장,표지판,,,,서울특별시 성동구청,02-2286-6320,2025-12-23,3030000,서울특별시 성동구
한강대로87길,서울특별시,용산구,37.544409,126.971909,37.544261,126.970816,2018-11-15,100,8,다수 상가밀집지역의 보행통행안전확보,N,30,Y,제한없음,N,상업시설,,,노면스템프,,CCTV+볼라드+지중등,,,서울특별시 용산구청,02-2199-7755,2026-01-31,3020000,서울특별시 용산구
녹사평대로40길,서울특별시,용산구,37.535994,126.987335,37.5351798,126.988202,2016-10-01,350,5,어린이보호구역 및 다수 상업시설 방문 보행통행안전확보,Y,30,Y,제한없음,N,상업시설+초등학교,,,과속방지턱+노면 스템프,,CCTV+방호울타리,,,서울특별시 용산구청,02-2199-7755,2026-01-31,3020000,서울특별시 용산구
녹사평대로46길,서울특별시,용산구,37.537505,126.9879518,37.538818,126.988763,2015-12-30,380,4,다수 상가밀집지역의 보행통행안전확보,N,30,Y,제한없음,N,상업시설,,,과속방지턱+노면 스템프,,CCTV,,,서울특별시 용산구청,02-2199-7755,2026-01-31,3020000,서울특별시 용산구
인제로200번길 일원 보행자우선도로,경상남도,김해시,35.2465699,128.9042813,35.248034,128.904818,2025-09-10,200,8,보행자 안전확보,N,20,N,지정사항 없음,N,상가+편의시설,,,,,,,,경상남도 김해시청,055-330-3854,2025-12-09,5350000,경상남도 김해시
김해대로2385번길 보행자우선도로,경상남도,김해시,35.228359,128.887526,35.229731,128.887311,2024-04-02,150,6,보행자 안전확보,N,30,N,지정사항 없음,N,상가+편의시설,,,,,,,,경상남도 김해시청,055-330-3854,2025-12-09,5350000,경상남도 김해시
분성로336번길 보행자우선도로,경상남도,김해시,35.232371,128.882961,35.230051,128.883434,2023-07-10,400,6,보행자 안전확보,N,30,Y,지정사항 없음,N,상가+편의시설,,,,,,,,경상남도 김해시청,055-330-3854,2025-12-09,5350000,경상남도 김해시
김해시청 인근 보행자우선도로,경상남도,김해시,35.227924,128.889448,35.228359,128.887526,2023-07-10,300,6,보행자 안전확보,N,30,N,지정사항 없음,N,상가+편의시설,,,,,,,,경상남도 김해시청,055-330-3854,2025-12-09,5350000,경상남도 김해시
수리공원 주변 보행자우선도로,경상남도,김해시,35.262253,128.868297,35.262177,128.870518,2022-09-15,300,6,보행자 안전확보,N,30,Y,지정사항 없음,N,공원+편의시설,,,,,,,,경상남도 김해시청,055-330-3854,2025-12-09,5350000,경상남도 김해시
탄방로 7번길 보행자우선도로,대전광역시,서구,36.346176,127.391712,36.346813,127.395842,2023-10-12,480,7,보행자의 안전을 위한 사람중심의 교통체계 조성,N,20,N,없음,Y,탄방로 7번길 상점가,0,0,과속방지턱,표지판,,,,대전광역시 서구청,042-288-3924,2026-01-08,3660000,대전광역시 서구
둔산동 보행자우선도로(둔산동 1054~1049),대전광역시,서구,36.351937,127.376558,36.350031,127.375287,2023-02-06,175,10,보행자의 안전을 위한 사람중심의 교통체계 조성,N,20,N,없음,N,갤러리아백화점,0,0,고원식횡단보도(교차로),표지판,,,,대전광역시 서구청,042-288-3924,2026-01-08,3660000,대전광역시 서구
둔산동 보행자우선도로(둔산동 1057~1062),대전광역시,서구,36.351937,127.376558,36.350031,127.375287,2023-02-06,175,10,보행자의 안전을 위한 사람중심의 교통체계 조성,N,20,N,없음,N,갤러리아백화점,0,0,고원식횡단보도(교차로),표지판,,,,대전광역시 서구청,042-288-3924,2026-01-08,3660000,대전광역시 서구
둔산동 보행자우선도로(둔산동 1056~1063),대전광역시,서구,36.351937,127.376558,36.350031,127.375287,2023-02-06,176,10,보행자의 안전을 위한 사람중심의 교통체계 조성,N,20,N,없음,N,갤러리아백화점,0,0,고원식횡단보도(교차로),표지판,,,,대전광역시 서구청,042-288-3924,2026-01-08,3660000,대전광역시 서구
둔산동 보행자우선도로(둔산동 1091~1088-1),대전광역시,서구,36.351937,127.376558,36.350031,127.375287,2023-02-06,145,10,보행자의 안전을 위한 사람중심의 교통체계 조성,N,20,N,없음,N,갤러리아백화점,0,0,고원식횡단보도(교차로),표지판,불법주정차 단속 CCTV(1개소),,,대전광역시 서구청,042-288-3924,2026-01-08,3660000,대전광역시 서구
둔산동 보행자우선도로(둔산동 1072~1533),대전광역시,서구,36.351937,127.376558,36.350031,127.375287,2023-02-06,260,10,보행자의 안전을 위한 사람중심의 교통체계 조성,N,20,N,없음,N,갤러리아백화점,0,0,고원식횡단보도(교차로),표지판,불법주정차 단속 CCTV(1개소),,,대전광역시 서구청,042-288-3924,2026-01-08,3660000,대전광역시 서구
둔산동 보행자우선도로(둔산동 1095~1047),대전광역시,서구,36.351937,127.376558,36.350031,127.375287,2023-02-06,360,10,보행자의 안전을 위한 사람중심의 교통체계 조성,N,20,N,없음,N,갤러리아백화점,0,0,고원식횡단보도(교차로),표지판,,,,대전광역시 서구청,042-288-3924,2026-01-08,3660000,대전광역시 서구
둔산동 보행자우선도로(둔산동 1122~1110),대전광역시,서구,36.351937,127.376558,36.350031,127.375287,2023-02-06,352,10,보행자의 안전을 위한 사람중심의 교통체계 조성,N,20,N,없음,N,갤러리아백화점,0,0,고원식횡단보도(교차로),표지판,불법주정차 단속 CCTV(1개소),,,대전광역시 서구청,042-288-3924,2026-01-08,3660000,대전광역시 서구
