보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
내량리 1291-3,1,,대구광역시 군위군 군위읍 내량리 1291-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 693-1,1,,대구광역시 군위군 군위읍 내량리 693-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 686-1,1,,대구광역시 군위군 군위읍 내량리 686-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 247-9,1,,대구광역시 군위군 군위읍 내량리 247-9,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 384-6,1,,대구광역시 군위군 군위읍 내량리 384-6,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 4-3,1,,대구광역시 군위군 군위읍 내량리 4-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 198-1,1,,대구광역시 군위군 군위읍 삽령리 198-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 70-4,1,,대구광역시 군위군 군위읍 삽령리 70-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 63-1,1,,대구광역시 군위군 군위읍 삽령리 63-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 51-1,1,,대구광역시 군위군 군위읍 삽령리 51-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 57,1,,대구광역시 군위군 군위읍 삽령리 57,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 277-1,1,,대구광역시 군위군 군위읍 삽령리 277-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 262-3,1,,대구광역시 군위군 군위읍 삽령리 262-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 266,1,,대구광역시 군위군 군위읍 삽령리 266,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 191,1,,대구광역시 군위군 군위읍 삽령리 191,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 576-1,1,,대구광역시 군위군 군위읍 삽령리 576-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 188-2,1,,대구광역시 군위군 군위읍 삽령리 188-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 417,1,,대구광역시 군위군 군위읍 삽령리 417,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 413,1,,대구광역시 군위군 군위읍 삽령리 413,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 458,1,,대구광역시 군위군 군위읍 삽령리 458,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 475-1,1,,대구광역시 군위군 군위읍 삽령리 475-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령길 113-9,1,대구광역시 군위군 군위읍 삽령길 113-9,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 158,1,,대구광역시 군위군 군위읍 삽령리 158,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령길 117-1,1,대구광역시 군위군 군위읍 삽령길 117-1,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 484,1,,대구광역시 군위군 군위읍 삽령리 484,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 156,1,,대구광역시 군위군 군위읍 삽령리 156,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
삽령리 119-77,1,,대구광역시 군위군 군위읍 삽령리 119-77,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 193-6,1,,대구광역시 군위군 군위읍 내량리 193-6,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 842-1,1,,대구광역시 군위군 군위읍 내량리 842-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 931-2,1,,대구광역시 군위군 군위읍 내량리 931-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1117-5,1,,대구광역시 군위군 군위읍 내량리 1117-5,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
내량리 1129,1,,대구광역시 군위군 군위읍 내량리 1129,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1258,1,,대구광역시 군위군 군위읍 수서리 1258,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
장수길 16-1,1,대구광역시 군위군 군위읍 장수길 16-1,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1254-2,1,,대구광역시 군위군 군위읍 수서리 1254-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1249,1,,대구광역시 군위군 군위읍 수서리 1249,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
서금로 737,1,대구광역시 군위군 군위읍 서금로 737,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 4-23,1,,대구광역시 군위군 군위읍 수서리 4-23,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 8-10,1,,대구광역시 군위군 군위읍 수서리 8-10,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 6-8,1,,대구광역시 군위군 군위읍 수서리 6-8,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 505-8,1,,대구광역시 군위군 군위읍 수서리 505-8,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 470-5,1,,대구광역시 군위군 군위읍 수서리 470-5,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 473-2,1,,대구광역시 군위군 군위읍 수서리 473-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1652-8,1,,대구광역시 군위군 군위읍 수서리 1652-8,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 479,1,,대구광역시 군위군 군위읍 수서리 479,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 429-2,1,,대구광역시 군위군 군위읍 수서리 429-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 366-1,1,,대구광역시 군위군 군위읍 수서리 366-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
서군길 6-5,1,대구광역시 군위군 군위읍 서군길 6-5,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 447,1,,대구광역시 군위군 군위읍 수서리 447,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
서군길 16,1,대구광역시 군위군 군위읍 서군길 16,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 354,1,,대구광역시 군위군 군위읍 수서리 354,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 327,1,,대구광역시 군위군 군위읍 수서리 327,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 320,1,,대구광역시 군위군 군위읍 수서리 320,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
서군길 38-6,1,대구광역시 군위군 군위읍 서군길 38-6,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 72,1,,대구광역시 군위군 군위읍 수서리 72,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 63-2,1,,대구광역시 군위군 군위읍 수서리 63-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 458-2,1,,대구광역시 군위군 군위읍 수서리 458-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 457-6,1,,대구광역시 군위군 군위읍 수서리 457-6,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성2길 22,1,대구광역시 군위군 군위읍 무성2길 22,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성리 1212-136,1,,대구광역시 군위군 군위읍 무성리 1212-136,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성리 1212-132,1,,대구광역시 군위군 군위읍 무성리 1212-132,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성리 1096-4,1,,대구광역시 군위군 군위읍 무성리 1096-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성1길 25-96,1,대구광역시 군위군 군위읍 무성1길 25-96,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성리 1211,1,,대구광역시 군위군 군위읍 무성리 1211,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성리 102,1,,대구광역시 군위군 군위읍 무성리 102,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성리 101-4,1,,대구광역시 군위군 군위읍 무성리 101-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성리 72,1,,대구광역시 군위군 군위읍 무성리 72,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
무성리 289,1,,대구광역시 군위군 군위읍 무성리 289,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1035,1,,대구광역시 군위군 군위읍 수서리 1035,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1047,1,,대구광역시 군위군 군위읍 수서리 1047,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1054,1,,대구광역시 군위군 군위읍 수서리 1054,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1062,1,,대구광역시 군위군 군위읍 수서리 1062,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1221,1,,대구광역시 군위군 군위읍 수서리 1221,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1230,1,,대구광역시 군위군 군위읍 수서리 1230,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1260-4,1,,대구광역시 군위군 군위읍 수서리 1260-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
장수길 32-8,1,대구광역시 군위군 군위읍 장수길 32-8,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
수서리 1263-1,1,,대구광역시 군위군 군위읍 수서리 1263-1,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
서부리 161,1,,대구광역시 군위군 군위읍 서부리 161,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
서부리 164-4,1,,대구광역시 군위군 군위읍 서부리 164-4,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
서부리 151-113,1,,대구광역시 군위군 군위읍 서부리 151-113,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
동부리 223,1,,대구광역시 군위군 군위읍 동부리 223,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
동부리 382-6,1,,대구광역시 군위군 군위읍 동부리 382-6,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
동서길 89-39,1,대구광역시 군위군 군위읍 동서길 89-39,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
동부리 189-2,1,,대구광역시 군위군 군위읍 동부리 189-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
동부리 129-2,1,,대구광역시 군위군 군위읍 동부리 129-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
중앙길 146,1,대구광역시 군위군 군위읍 중앙길 146,,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
동부리 333-3,1,,대구광역시 군위군 군위읍 동부리 333-3,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
동부리 963-2,1,,대구광역시 군위군 군위읍 동부리 963-2,,,,,054-380-6393,대구광역시 군위군청,2026-04-03,5141000,대구광역시 군위군
