교량명,시설물종별등급구분,도로종류,도로노선명,도로노선번호,도로노선방향,시도명,시군구명,시군구코드,소재지지번주소,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,교량보도폭,교량높이,차로수,상하행선분리여부,상부구조형식,교량준공연도,최종안전점검일자,최종안전점검결과,최종안전점검유형,내진설계적용여부,내진성능확보여부,교량보수보강내역,교량보수보강비용,설계활하중,허용통행하중,하부통과제한높이,관리기관명,관리기관전화번호,데이터기준일자
길천교,02,일반국도,일반국도42호선,42,03,경기도,여주시,41670,경기도 여주시 능서면 신지리, 37.299263, 127.560079, 37.299209, 127.562075,144.7,19.5,1,9.1,4,N,PSCI거더교,1998,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
번천2교,02,일반국도,일반국도43호선,43,03,경기도,광주시,41610,경기도 광주시 남한산성면 광지원리, 37.453328, 127.252390, 37.454750, 127.252398,160,18,1.5,6,4,N,RC중공슬래브교,1987,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
번천1교,03,일반국도,일반국도45호선,45,03,경기도,광주시,41610,경기도 광주시 남한산성면 상번천리, 37.449014, 127.260161, 37.449605, 127.260576,53,17.2,0.9,4.8,4,N,RC슬래브교,1987,2024-11-30,B,정기점검,미적용,N,,,DB-24,43.2,3.5,서울청 수원사무소,031-218-1777,2024-12-31
매상교,03,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 포승읍 신영리, 36.936816, 126.891598, 36.936666, 126.891871,30,20.1,1.6,2.5,4,N,PSCI거더교,1993,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
궁안교(하),02,일반국도,일반국도38호선,38,02,경기도,평택시,41220,경기도 평택시 오성면 안화리, 37.017530, 127.018339, 37.016908, 127.013439,420,10,2.2,10,2,Y,강박스거더교,1997,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,7,서울청 수원사무소,031-218-1777,2024-12-31
신대교,01,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 고덕면 동고리, 37.004183, 127.052591, 37.000017, 127.059734,400,19.5,1,7,4,N,강박스거더교,1997,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
숙성라멘교,99,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 오성면 죽리, 37.006480, 126.979678, 37.006435, 126.979849,11,19.5,1,5.9,4,N,라멘교,1997,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
숙성교,03,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 오성면 안화리, 37.010660, 126.991691, 37.010786, 126.992034,36,19.5,1,6.3,4,N,라멘교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.7,서울청 수원사무소,031-218-1777,2024-12-31
양복육교,99,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 보개면 내방리, 37.015933, 127.317516, 37.015941, 127.317631,12,19.5,1,5.1,4,N,라멘교,1997,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,4.3,서울청 수원사무소,031-218-1777,2024-12-31
마전1교,03,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 삼죽면 마전리, 37.031917, 127.351440, 37.032152, 127.351739,48,19.5,1,6.3,4,N,RC슬래브교,1997,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,2.3,서울청 수원사무소,031-218-1777,2024-12-31
마전2교,03,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 삼죽면 미장리, 37.033474, 127.352790, 37.033676, 127.352915,20,19.5,1,3.9,4,N,라멘교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,3.9,서울청 수원사무소,031-218-1777,2024-12-31
두현육교,99,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 죽산면 두현리, 37.072621, 127.400952, 37.072552, 127.401297,12,19.5,1,5.1,4,N,라멘교,1997,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
중마교,03,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 죽산면 두현리, 37.071480, 127.407282, 37.071441, 127.407451,45,19.5,1,5.6,4,N,RC슬래브교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,2.4,서울청 수원사무소,031-218-1777,2024-12-31
죽산육교,03,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 죽산면 장원리, 37.070162, 127.413831, 37.070279, 127.413283,30,26.3,0.8,6.1,4,N,라멘교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,5.1,서울청 수원사무소,031-218-1777,2024-12-31
두원육교,99,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 죽산면 장원리, 37.069891, 127.419705, 37.069951, 127.419843,15,19.5,1,5.3,4,N,라멘교,1997,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,4.3,서울청 수원사무소,031-218-1777,2024-12-31
장원육교,99,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 죽산면 장원리, 37.073244, 127.427609, 37.073341, 127.427705,15,19.5,1,5.2,4,N,라멘교,1997,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,4.3,서울청 수원사무소,031-218-1777,2024-12-31
장원교,03,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 죽산면 죽산리, 37.074367, 127.428605, 37.075162, 127.429194,97,19.5,1,7.2,4,N,RC슬래브교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,3.5,서울청 수원사무소,031-218-1777,2024-12-31
현곡교,03,일반국도,일반국도39호선,39,03,경기도,평택시,41220,경기도 평택시 청북읍 현곡리, 37.040297, 126.934932, 37.040468, 126.934859,42,19.5,1,4.9,4,N,RC슬래브교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.7,서울청 수원사무소,031-218-1777,2024-12-31
풍무교,99,일반국도,일반국도39호선,39,03,경기도,화성시,41590,경기도 화성시 향남읍 상신리, 37.098657, 126.902665, 37.098779, 126.902555,11,21.5,1,6.6,4,N,라멘교,1996,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
발안교,03,일반국도,일반국도43호선,43,03,경기도,화성시,41590,경기도 화성시 향남읍 장짐리, 37.134969, 126.911440, 37.135202, 126.911504,24,19.5,1,5.9,4,N,라멘교,1996,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,5.9,서울청 수원사무소,031-218-1777,2024-12-31
송문1교,03,일반국도,일반국도42호선,42,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 양지면 남곡리, 37.225113, 127.262715, 37.225074, 127.263649,80,19.5,1,4.5,4,N,RC슬래브교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.7,서울청 수원사무소,031-218-1777,2024-12-31
송문2교,03,일반국도,일반국도42호선,42,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 양지면 남곡리, 37.225011, 127.265057, 37.225009, 127.265913,70,19.5,1,4.7,4,N,RC슬래브교,1997,2024-12-13,C,정기점검,미적용,N,,,DB-24,43.2,4.7,서울청 수원사무소,031-218-1777,2024-12-31
송문3교,99,일반국도,일반국도42호선,42,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 양지면 양지리, 37.226715, 127.269990, 37.226835, 127.270189,15,19.5,1,4.5,4,N,라멘교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
양지1교,03,일반국도,일반국도42호선,42,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 양지면 남곡리, 37.227942, 127.272003, 37.228326, 127.272628,62,19.5,1,4.5,4,N,RC슬래브교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
양지2교,99,일반국도,일반국도42호선,42,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 양지면 양지리, 37.232453, 127.280310, 37.232500, 127.280589,16,19.5,1,5,4,N,라멘교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
추계1교,01,일반국도,일반국도42호선,42,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 양지면 추계리, 37.255193, 127.330032, 37.255039, 127.331824,156,19.5,1,8,4,N,강박스거더교,1997,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,7,서울청 수원사무소,031-218-1777,2024-12-31
추계2교,01,일반국도,일반국도42호선,42,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 양지면 추계리, 37.254755, 127.334930, 37.254597, 127.336786,160,19.5,1,6,4,N,강박스거더교,1997,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,7,서울청 수원사무소,031-218-1777,2024-12-31
오천교,03,일반국도,일반국도42호선,42,03,경기도,이천시,41500,경기도 이천시 마장면 오천리, 37.254881, 127.357189, 37.254767, 127.357977,62,19.5,1,5,4,N,RC슬래브교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,5,서울청 수원사무소,031-218-1777,2024-12-31
유덕교,03,일반국도,일반국도43호선,43,03,경기도,화성시,41590,경기도 화성시 봉담읍 덕리, 37.173678, 126.936618, 37.173946, 126.936594,30,19.5,1,4.5,4,N,라멘교,1996,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
둔전육교,99,일반국도,일반국도45호선,45,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 포곡읍 둔전리, 37.269407, 127.213529, 37.269584, 127.213543,12,19.5,0.8,5,4,N,라멘교,1997,2024-12-13,C,정기점검,미적용,N,,,DB-24,43.2,4.3,서울청 수원사무소,031-218-1777,2024-12-31
삼계교,03,일반국도,일반국도45호선,45,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 포곡읍 둔전리, 37.278456, 127.224528, 37.278519, 127.224990,30,19.5,0.8,5,4,N,프리플렉스거더교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
포곡육교,99,일반국도,일반국도45호선,45,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 포곡읍 삼계리, 37.285068, 127.232816, 37.285222, 127.232937,12,19.5,0.8,5,4,N,라멘교,1997,2024-12-13,C,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
초현교,03,일반국도,일반국도45호선,45,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 포곡읍 삼계리, 37.302904, 127.235062, 37.303116, 127.235119,21.2,23,1,2,4,N,RC슬래브교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,2,서울청 수원사무소,031-218-1777,2024-12-31
초부교,99,일반국도,일반국도45호선,45,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 모현읍 초부리, 37.312474, 127.240716, 37.312653, 127.240764,18.5,19.5,1,7,4,N,라멘교,1997,2024-12-13,C,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
왕산소교,03,일반국도,일반국도45호선,45,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 모현읍 왕산리, 37.337673, 127.249780, 37.337884, 127.249820,22,22.5,3,2.3,5,N,RC슬래브교,1997,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,2.3,서울청 수원사무소,031-218-1777,2024-12-31
평택호대교,01,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 현덕면 권관리, 36.910759, 126.908809, 36.915520, 126.910182,660,19.5,1,6.5,4,N,강박스거더교,1998,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,5.9,서울청 수원사무소,031-218-1777,2024-12-31
현덕IC교,03,일반국도,일반국도39호선,39,03,경기도,평택시,41220,경기도 평택시 현덕면 권관리, 36.917497, 126.910788, 36.917744, 126.910898,30,19.5,1,5.9,4,N,라멘교,1998,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
현덕교,03,일반국도,일반국도39호선,39,03,경기도,평택시,41220,경기도 평택시 현덕면 인광리, 36.953092, 126.915695, 36.953419, 126.916113,51,19.5,1,5,4,N,RC중공슬래브교,1998,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,3,서울청 수원사무소,031-218-1777,2024-12-31
안중고가차도,01,일반국도,일반국도39호선,39,03,경기도,평택시,41220,경기도 평택시 안중읍 안중리, 36.987967, 126.938319, 36.993366, 126.938362,220,19.5,3,5.5,4,N,강박스거더교,1998,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,4.9,서울청 수원사무소,031-218-1777,2024-12-31
신원육교,99,일반국도,일반국도42호선,42,03,경기도,이천시,41500,경기도 이천시 부발읍 신원리, 37.289793, 127.500555, 37.289815, 127.500869,15,19.5,1,5.6,4,N,라멘교,1998,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
백록육교,99,일반국도,일반국도42호선,42,03,경기도,이천시,41500,경기도 이천시 부발읍 고백리, 37.295042, 127.541362, 37.295092, 127.541606,10,19.5,1,5,4,N,라멘교,1998,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
능서육교,99,일반국도,일반국도42호선,42,03,경기도,여주시,41670,경기도 여주시 능서면 번도리, 37.301329, 127.573042, 37.301289, 127.573345,15,19.5,1,5,4,N,라멘교,1998,2024-11-29,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
신궁1육교,03,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 팽성읍 신궁리, 36.979765, 127.072796, 36.979652, 127.073230,30.7,19.5,1,9.4,4,N,PSCI거더교,2000,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
신궁2육교,03,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 팽성읍 신궁리, 36.978607, 127.077545, 36.978506, 127.077980,40,19.5,1,7,4,N,강박스거더교,2000,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
평궁교,03,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 팽성읍 평궁리, 36.977609, 127.081367, 36.977527, 127.081689,30.5,27,1,9.6,4,N,PSCI거더교,2000,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,3.5,서울청 수원사무소,031-218-1777,2024-12-31
안성천2교,01,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 군문동 , 36.976284, 127.090594, 36.980175, 127.099906,941.6,19.5,0.9,10,4,N,강박스거더교,2000,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
월정육교,99,일반국도,일반국도38호선,38,03,경기도,안성시,41550,경기도 안성시 일죽면 송천리, 37.087820, 127.465346, 37.087850, 127.465496,12,24.7,6.2,5,4,N,라멘교,1998,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,4.8,서울청 수원사무소,031-218-1777,2024-12-31
청미교(상),02,일반국도,일반국도38호선,38,01,경기도,안성시,41550,경기도 안성시 일죽면 송천리, 37.094972, 127.475273, 37.096200, 127.477121,212.8,10.8,1,4.2,2,Y,PSCI거더교,1998,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
청미교(하),02,일반국도,일반국도38호선,38,02,경기도,안성시,41550,경기도 안성시 일죽면 송천리, 37.094968, 127.475268, 37.096194, 127.477121,212.8,10.8,1,4.2,2,Y,PSCI거더교,1998,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
행죽교,03,일반국도,일반국도38호선,38,03,경기도,이천시,41500,경기도 이천시 설성면 행죽리, 37.102592, 127.519308, 37.102680, 127.519611,25.2,19.5,1,5.2,4,N,PSCI거더교,1998,2024-12-13,C,정기점검,미적용,N,,,DB-24,43.2,3,서울청 수원사무소,031-218-1777,2024-12-31
행죽육교,99,일반국도,일반국도38호선,38,03,경기도,이천시,41500,경기도 이천시 설성면 행죽리, 37.106566, 127.534232, 37.106577, 127.534465,16,19.5,1,5.3,4,N,라멘교,1998,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,5.3,서울청 수원사무소,031-218-1777,2024-12-31
제요교,03,일반국도,일반국도38호선,38,03,경기도,이천시,41500,경기도 이천시 설성면 제요리, 37.111509, 127.552918, 37.111473, 127.553782,75,19.5,1,4.6,4,N,PSCI거더교,1998,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,3.5,서울청 수원사무소,031-218-1777,2024-12-31
제요1교,03,일반국도,일반국도38호선,38,03,경기도,이천시,41500,경기도 이천시 설성면 제요리, 37.110955, 127.556468, 37.110887, 127.556745,25.2,19.5,1,8.7,4,N,PSCI거더교,1998,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,5.5,서울청 수원사무소,031-218-1777,2024-12-31
대서육교,99,일반국도,일반국도38호선,38,03,경기도,이천시,41500,경기도 이천시 장호원읍 대서리, 37.108947, 127.565709, 37.108932, 127.565915,15,19.5,1,7.9,4,N,라멘교,1998,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,5.3,서울청 수원사무소,031-218-1777,2024-12-31
안성천1교,02,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 팽성읍 신호리, 36.994588, 127.059999, 36.990803, 127.060041,481,19.5,1,6,6,N,RC슬래브교,1997,2024-06-22,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
후포교,03,일반국도,일반국도37호선,37,03,경기도,여주시,41670,경기도 여주시 대신면 후포리, 37.350688, 127.602253, 37.350963, 127.601577,60.2,21,4,3.5,4,N,PSCI거더교,1999,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,3.5,서울청 수원사무소,031-218-1777,2024-12-31
초현교,03,일반국도,일반국도37호선,37,03,경기도,여주시,41670,경기도 여주시 대신면 율촌리, 37.369360, 127.584194, 37.370020, 127.583539,90.3,21,4,7,4,N,PSCI거더교,1999,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,3.9,서울청 수원사무소,031-218-1777,2024-12-31
이호대교,01,일반국도,일반국도42호선,42,03,경기도,여주시,41670,경기도 여주시 강천면 이호리, 37.283658, 127.674422, 37.283641, 127.684646,910,21,1,7,4,N,강박스거더교,1999,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
이호육교,03,일반국도,일반국도42호선,42,03,경기도,여주시,41670,경기도 여주시 강천면 이호리, 37.283316, 127.690969, 37.283289, 127.691293,30,26,1,7,4,N,프리플렉스거더교,1999,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,5,서울청 수원사무소,031-218-1777,2024-12-31
강천육교,99,일반국도,일반국도42호선,42,03,경기도,여주시,41670,경기도 여주시 강천면 이호리, 37.283005, 127.694753, 37.282979, 127.695150,18,21,1,10,4,N,라멘교,1999,2024-11-29,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
간매육교,03,일반국도,일반국도42호선,42,03,경기도,여주시,41670,경기도 여주시 강천면 간매리, 37.274035, 127.711277, 37.273947, 127.711709,40,21,1,10,4,N,프리플렉스거더교,1999,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
부평교,03,일반국도,일반국도42호선,42,03,경기도,여주시,41670,경기도 여주시 강천면 부평리, 37.273802, 127.743269, 37.273793, 127.743604,21.7,69,1,6,4,N,라멘교,1999,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.6,서울청 수원사무소,031-218-1777,2024-12-31
한평교,02,일반국도,일반국도17호선,17,03,경기도,안성시,41550,경기도 안성시 일죽면 고은리, 37.106555, 127.433259, 37.107595, 127.432782,120.4,19.5,1,6.1,4,N,PSCI거더교,1995,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,,서울청 수원사무소,031-218-1777,2024-12-31
방초교,03,일반국도,일반국도17호선,17,03,경기도,안성시,41550,경기도 안성시 일죽면 방초리, 37.111533, 127.429893, 37.111849, 127.429652,40,19.5,1,7,4,N,RC슬래브교,1996,2024-12-13,C,정기점검,미적용,N,,,DB-24,43.2,7,서울청 수원사무소,031-218-1777,2024-12-31
고안육교,99,일반국도,일반국도17호선,17,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 백암면 고안리, 37.133822, 127.404286, 37.133920, 127.404157,15,19.5,1,7,4,N,라멘교,1996,2024-12-13,C,정기점검,미적용,N,,,DB-24,43.2,4.8,서울청 수원사무소,031-218-1777,2024-12-31
백봉교,03,일반국도,일반국도17호선,17,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 백암면 백봉리, 37.135071, 127.402497, 37.135210, 127.402280,25,19.5,1,7.3,4,N,라멘교,1996,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
원대교,03,일반국도,일반국도17호선,17,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 백암면 박곡리, 37.155549, 127.384865, 37.155911, 127.384686,42.1,19.5,1,9,4,N,RC슬래브교,1998,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,5,서울청 수원사무소,031-218-1777,2024-12-31
백암교,03,일반국도,일반국도17호선,17,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 백암면 백암리, 37.167768, 127.378963, 37.168093, 127.378717,43,29,1,5.8,7,N,RC슬래브교,1998,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,2.2,서울청 수원사무소,031-218-1777,2024-12-31
근곡교,03,일반국도,일반국도17호선,17,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 백암면 근곡리, 37.170216, 127.364223, 37.170229, 127.363933,25,19.5,1,8.2,4,N,라멘교,1996,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.6,서울청 수원사무소,031-218-1777,2024-12-31
두창육교,03,일반국도,일반국도17호선,17,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 원삼면 가재월리, 37.176113, 127.340778, 37.176469, 127.340402,50,19.5,1,6.4,4,N,라멘교,1996,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,4.5,서울청 수원사무소,031-218-1777,2024-12-31
능교,03,일반국도,일반국도17호선,17,03,경기도,용인시 처인구,41461,경기도 용인시 처인구 원삼면 맹리, 37.185987, 127.330272, 37.186126, 127.330124,20,19.5,1,6.2,4,N,라멘교,1996,2024-12-13,B,정기점검,미적용,N,,,DB-24,43.2,6.2,서울청 수원사무소,031-218-1777,2024-12-31
희곡육교,02,일반국도,일반국도38호선,38,03,경기도,평택시,41220,경기도 평택시 포승읍 희곡리, 36.971234, 126.870734, 36.971461, 126.871233,50.1,27.6,4,6.3,4,N,강박스거더교,2000,2024-12-13,A,정기점검,미적용,N,,,DB-24,43.2,6,서울청 수원사무소,031-218-1777,2024-12-31
