무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
(수용지구)PC-15,경기도,광주시,시도,27,광주역로,3,,경기도 광주시 역동 405,37.39862597,127.2522016894,광주역 1번출구 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-14,경기도,광주시,기타,,광주역4로,3,,경기도 광주시 역동 403,37.3995895568,127.2527828039,광주역 2번출구 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-13,경기도,광주시,시도,27,광주역로,3,,경기도 광주시 역동 393,37.40150849,127.2507994032,자연앤자이105동 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-11,경기도,광주시,기타,,광주역8로,3,,경기도 광주시 역동 385,37.40481416,127.2548868,행복마루어린이집 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-9,경기도,광주시,기타,,광주역8로,3,,경기도 광주시 역동 385,37.40481416,127.2548868,역동 367 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-8,경기도,광주시,기타,,광주역5로,3,,경기도 광주시 역동 367,37.40470819,127.2528017545,자연앤자이 101동 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주084,경기도,광주시,기타,,포돌이로,3,,경기도 광주시 탄벌동 723-9,37.4127535839,127.2424926704,탄벌중학교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주083,경기도,광주시,기타,,경충대로1127번길,3,,경기도 광주시 초월읍 쌍동리 281,37.3774546,127.2927239369,모아미래도아파트 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주082,경기도,광주시,시도,15,오포로,3,,경기도 광주시 문형동 251-2,37.3465082002,127.2115931227,오포농협문형지점 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주081,경기도,광주시,시도,23,경충대로,3,,경기도 광주시 삼동 223-4,37.40977364,127.2041745,삼동역 육교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주080,경기도,광주시,시도,23,경충대로,3,경기도 광주시 초월읍 경충대로 859,,37.36021037,127.3161736,산이보도 육교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주079,경기도,광주시,기타,,마루들길,3,,경기도 광주시 양벌동 1002-12,37.37834255,127.2551564005,양벌리 롯데리아 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주078,경기도,광주시,시도,23,경충대로,3,,경기도 광주시 초월읍 쌍동리 347-7,37.37554115,127.2964631905,롯데낙천대아파트 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주077,경기도,광주시,기타,,고불로,3,,경기도 광주시 중대동 16-119,37.39413145,127.2315577,광남초등학교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주076,경기도,광주시,기타,,송정4길,3,,경기도 광주시 송정동 636,37.42324505,127.2555841505,송정초등학교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주075,경기도,광주시,기타,,능평로,3,,경기도 광주시 능평동 175-2,37.34671329,127.1733548552,현대글로비스 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주117,경기도,광주시,기타,,경안안길,3,,경기도 광주시 경안동 72-131,37.41115414,127.2557391,씨유광주경안중앙점 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주116,경기도,광주시,기타,,태봉로13번길,3,,경기도 광주시 장지동 318-1,37.38992775,127.2327996621,태전경남아너스빌 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주115,경기도,광주시,기타,,파발로11번길,3,,경기도 광주시 경안동 61-3,37.4122007396,127.258585521,성일빌딩 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주114,경기도,광주시,기타,,태성로,3,,경기도 광주시 고산동 428-9,37.37385081,127.2250688,고산지구7,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주113,경기도,광주시,기타,,오포로909번길,3,경기도 광주시 고산길 54,,37.3715966018,127.2265544628,고산2리 마을회관 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주112,경기도,광주시,기타,,태봉로,3,경기도 광주시 태봉로 242,,37.3723039683,127.2294655,오포더샵 205동 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주111,경기도,광주시,기타,,태성로,3,,경기도 광주시 고산동 376-1,37.3752397872,127.2269732,오포더샵 106동 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주110,경기도,광주시,기타,,태봉로,3,,경기도 광주시 고산동 344-2,37.37476694,127.2301403,고산하늘초교 정문 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주109,경기도,광주시,기타,,태봉로,3,,경기도 광주시 고산동 651-17,37.37774436,127.2307309,오포더샵 112동 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주108,경기도,광주시,기타,,태성로,3,,경기도 광주시 고산동 651,37.37761861,127.2280223,오포더샵 102동 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주107,경기도,광주시,기타,,중앙로,3,,경기도 광주시 송정동 668,37.4227481108,127.2563737035,송정5길 중앙교차로,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주106,경기도,광주시,기타,,중앙로,3,,경기도 광주시 송정동 668,37.4227481108,127.2563737035,송정4길 중앙교차로,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주105,경기도,광주시,기타,,대석동길,3,,경기도 광주시 곤지암읍 곤지암리 362-4,37.35137741,127.3477569,대석동길 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주104,경기도,광주시,기타,,곤지암천로,3,,경기도 광주시 곤지암읍 곤지암리 371-2,37.35162683,127.3455988,곤지암천로 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(환지지구)PC-12,경기도,광주시,기타,,광주역8로,3,,경기도 광주시 역동 355,37.40443098,127.2556384867,역동 감미옥 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(환지지구)PC-10,경기도,광주시,기타,,광주역5로,3,,경기도 광주시 역동 349,37.4056502917,127.2555719824,역동 349 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(환지지구)PC-05,경기도,광주시,기타,,광주역7로,3,,경기도 광주시 역동 287,37.4058377555,127.2526802237,역동 339 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(환지지구)PC-06,경기도,광주시,기타,,공주역9로,3,,경기도 광주시 역동 341,37.4069333047,127.2536932176,역동 344 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(환지지구)PC-02,경기도,광주시,기타,,경안로,3,,경기도 광주시 역동 285,37.4071581802,127.2532939987,GS25광주안골점 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(환지지구)PC-01,경기도,광주시,기타,,광주역6로,3,,경기도 광주시 역동 284,37.40552529,127.2504858,해태아파트 상가 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(환지지구)PC-04,경기도,광주시,기타,,광주역7로,3,,경기도 광주시 역동 287,37.4058377555,127.2526802237,역동 경안교회 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(환지지구)PC-07,경기도,광주시,시도,27,광주역로,3,,경기도 광주시 역동 280,37.4043423,127.2500796,자연앤자이 103동 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-20,경기도,광주시,기타,,광주역1로,3,,경기도 광주시 역동 184-14,37.39651308,127.2502704,역동 441-1 앞 도로,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-19,경기도,광주시,기타,,광주역1로,3,,경기도 광주시 역동 184-6,37.39732186,127.2499236,역동 428-5 앞 도로,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-18,경기도,광주시,기타,,광주역1로,3,,경기도 광주시 역동 178-19,37.39743233,127.2517182,역동 427 공원부지,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-17,경기도,광주시,기타,,광주역1로,3,,경기도 광주시 역동 178-22,37.39799363,127.2507075,역동 426 삼거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
(수용지구)PC-16,경기도,광주시,기타,,광주역1로,3,,경기도 광주시 역동 178-28,37.3987166,127.249616,역동 415 교차로 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주139,경기도,광주시,기타,,파발로,3,,경기도 광주시 송정동 97-53,37.413066,127.262406,청석공원3(송정동),4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주138,경기도,광주시,기타,,파발로,3,,경기도 광주시 경안동 242-12,37.411177,127.262088,청석공원2(경안동),4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주137,경기도,광주시,기타,,역동로10번길,3,,경기도 광주시 역동 15-21,37.4066319949,127.25824,역동 새빛주차장 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주136,경기도,광주시,기타,,광주역4로,3,,경기도 광주시 역동 403,37.3995895568,127.2527828039,경기광주역 회전교차로,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주135,경기도,광주시,기타,,곤지암로50번길,3,,경기도 광주시 곤지암읍 곤지암리 453-86,37.3503814979,127.337837,곤지암초 삼거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주134,경기도,광주시,기타,,도곡길,3,,경기도 광주시 초월읍 쌍동리 157-56,37.3669846559,127.3019048861,초월중학교 후문 삼거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주133,경기도,광주시,기타,,고산별빛1로,3,,경기도 광주시 고산동 460-4,37.3724312334,127.2203125195,고산동 460-4,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주132,경기도,광주시,기타,,고산별빛1로,3,,경기도 광주시 고산동 산25-9,37.3731063149,127.2227012025,고산동 산25-9,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주131,경기도,광주시,기타,,오포안로,3,,경기도 광주시 고산동 286-1,37.3711471625,127.223516,고산동 286-1,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주130,경기도,광주시,기타,,오포로,3,,경기도 광주시 문형동 704-6,37.3435227707,127.19798,문형3통되치미정류장주변,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주129,경기도,광주시,기타,,경충대로1127번길,3,,경기도 광주시 초월읍 쌍동리 302-8,37.37643776,127.28925045,쌍동초교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주128,경기도,광주시,기타,,경충대로,3,,경기도 광주시 초월읍 쌍동리 187,37.37100794,127.2996257,도곡초교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주127,경기도,광주시,기타,,양벌로,3,,경기도 광주시 양벌동 611-2,37.37145509,127.2490404,매곡초교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주126,경기도,광주시,시도,23,경충대로,3,,경기도 광주시 쌍령동 467,37.40282458,127.2700278264,쌍령동 이레타워 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주125,경기도,광주시,기타,,경충대로1422번길,3,,경기도 광주시 쌍령동 353-73,37.39894991,127.2800143716,쌍령초교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주124,경기도,광주시,시도,11,곤지암천로,3,,경기도 광주시 곤지암읍 곤지암리 555-40,37.35054868,127.3461725,곤지암역 1번출구 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주123,경기도,광주시,기타,,통미로,3,,경기도 광주시 탄벌동 21-2,37.4179063825,127.249877,이화교육센터 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주122,경기도,광주시,기타,,태봉로,3,,경기도 광주시 태전동 605-2,37.3887509482,127.2304565659,태전상용프라자 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주121,경기도,광주시,기타,,창뜰아랫길,3,,경기도 광주시 능평동 318-3,37.34956448,127.1676409,능평초 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주120,경기도,광주시,기타,,파발로,3,,경기도 광주시 역동 220-3,37.4084101,127.262287256,광주터미널주차장 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주119,경기도,광주시,기타,,태성로,3,,경기도 광주시 태전동 87-37,37.38259375,127.2281972,태전퍼스트센트힐 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주118,경기도,광주시,시도,40,탄벌길,3,,경기도 광주시 탄벌동 200-8,37.42095169,127.2419719,탄벌우림아파트 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주062,경기도,광주시,기타,,태봉로,3,,경기도 광주시 태전동 702-17,37.37979035,127.2308117,한아람초등학교 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주061,경기도,광주시,기타,,현산로,3,,경기도 광주시 도평리 219-8,37.39567593,127.2898983,도평초등학교 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주060,경기도,광주시,기타,,이배재로,3,,경기도 광주시 탄벌동 27-6,37.4190597986,127.2486022778,탄벌초등학교 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주059,경기도,광주시,기타,,도척로,3,,경기도 광주시 도척면 진우리 1010,37.31512639,127.3402563888,도척물류단지,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주058,경기도,광주시,기타,,순암로36번길,3,,경기도 광주시 역동 263,37.39774771,127.2479379004,역동e편한세상 1단지 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주057,경기도,광주시,기타,,산수로,3,,경기도 광주시 초월읍 무갑리 905-6,37.4167178026,127.3083027942,초월물류단지,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주056,경기도,광주시,기타,,순암로36번길,3,,경기도 광주시 역동 263,37.39774771,127.2479379004,역동초교 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주055,경기도,광주시,기타,,회안대로,3,,경기도 광주시 탄벌동 527-6,37.40974107,127.2375775,탄벌 경남아너스빌 207동 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주054,경기도,광주시,기타,,추자길,3,,경기도 광주시 추자동 496-2,37.3594816707,127.2159365,오포초 입구 사거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주053,경기도,광주시,기타,,태봉로,3,,경기도 광주시 태전동 207-16,37.3846961,127.2300164,태성초앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주052,경기도,광주시,기타,,회안대로,3,,경기도 광주시 장지동 산 45-4,37.40865366,127.2366284,벌원초앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주051,경기도,광주시,기타,,경충대로1461번길,3,,경기도 광주시 쌍령동 506-1,37.40058111,127.2698874954,푸르지오진입로 삼거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주050,경기도,광주시,시도,23,경충대로,3,,경기도 광주시 쌍령동 464-6,37.40306295,127.2703107,쌍령동코사마트부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주049,경기도,광주시,기타,,문화로,3,,경기도 광주시 경안동 161-16,37.41066226,127.2518935042,시립도서관오거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주048,경기도,광주시,기타,,신현로,3,,경기도 광주시 신현동 1193,37.35972865,127.1492791299,가락공판장 오포신현점 삼거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주047,경기도,광주시,시도,9,고불로,3,,경기도 광주시 태전동 272-53,37.39256124,127.2297461671,태전보건진료소 옆,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주046,경기도,광주시,시도,15,신현로,3,,경기도 광주시 신현동 681-8,37.36072747,127.1546154358,오포파리바게트신현점,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주045,경기도,광주시,지방도,342,남한산성로,3,,경기도 광주시 남한산성면 산성리 532-1,37.47785073,127.1844483,남한산성 로터리2,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주044,경기도,광주시,지방도,342,남한산성로,3,,경기도 광주시 남한산성면 산성리 535-1,37.47774043,127.184133,남한산성 로터리1,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주043,경기도,광주시,기타,,태봉로,3,,경기도 광주시 태전동 697-8,37.38652531,127.2338069352,태전고 사거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주042,경기도,광주시,기타,,태성로,3,,경기도 광주시 태전동 630-3,37.38173224,127.2301257,힐스테이트6지구주변,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주041,경기도,광주시,기타,,벼루개로,3,,경기도 광주시 태전동 700-9,37.38314838,127.2338234203,힐스테이트5지구사거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주040,경기도,광주시,기타,,경충대로1422번길,3,,경기도 광주시 쌍령동 347-6,37.39764773,127.2762362,쌍령동성아파트부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주039,경기도,광주시,기타,,순암로36번길,3,,경기도 광주시 역동 263,37.39774771,127.2479379004,장지동 대광프라자앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주038,경기도,광주시,기타,,문형산길,3,,경기도 광주시 신현동 1187-3,37.35904341,127.161181,광명초등학교 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주037,경기도,광주시,기타,,마루들길,3,,경기도 광주시 양벌동 1106-5,37.37821922,127.2599604557,양벌리우림아파트 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주036,경기도,광주시,기타,,양벌로,3,,경기도 광주시 양벌동 311-12,37.3789793,127.255453506,양벌초등학교,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주035,경기도,광주시,기타,,경안로25번길,3,,경기도 광주시 경안동 260-35,37.4087075236,127.2586568371,경안시장 공영주차장,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주034,경기도,광주시,시도,23,경충대로,3,,경기도 광주시 삼리 140-2,37.35523439,127.322111,삼리기업은행앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주033,경기도,광주시,기타,,경안로,3,,경기도 광주시 경안동 20-64,37.41008768,127.2600979584,본가 맞은편,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주032,경기도,광주시,기타,,경안안길,3,,경기도 광주시 경안동 93-5,37.4124609,127.2542831127,천주교,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주031,경기도,광주시,지방도,338,파발로,3,,경기도 광주시 탄벌동 43-4,37.41581572,127.2505105546,보건소,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주030,경기도,광주시,기타,,수하길11번길,3,,경기도 광주시 송정동 73-2,37.4159953797,127.2616894,경화여고 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주029,경기도,광주시,국가지원지방도,98,곤지암로,3,,경기도 광주시 곤지암리 580,37.349941,127.3405793,곤지암버스터미널,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주028,경기도,광주시,국가지원지방도,98,곤지암로,3,,경기도 광주시 곤지암리 580,37.349941,127.3405793,곤지암 농협 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주027,경기도,광주시,기타,,평촌길,3,,경기도 광주시 곤지암읍 삼리 620-1,37.356358173,127.3258626766,킴스진입로,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주026,경기도,광주시,시도,9,고불로,3,,경기도 광주시 장지동 746-4,37.39308685,127.2315913522,경기약국앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주025,경기도,광주시,기타,,중앙로145번길,3,,경기도 광주시 경안동 74-6,37.41263721,127.2567956724,광주농협하나로마트주변,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주024,경기도,광주시,기타,,경안로,3,,경기도 광주시 역동 22-60,37.40868215,127.2595703,경안동공영주차장 부근,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주023,경기도,광주시,기타,,중앙로,3,,경기도 광주시 송정동 547-2,37.41890104,127.2564084577,광주재활용센터,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주022,경기도,광주시,기타,,태봉로,3,,경기도 광주시 태전동 251-16,37.3887622065,127.2296715288,성원프라자,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주021,경기도,광주시,기타,,경안안길,3,경기도 광주시 중앙로123번길 13,,37.41006127,127.2567666,시장입구사거리,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주020,경기도,광주시,시도,27,경안로,3,,경기도 광주시 경안동 152-8,37.4108615522,127.2483350358,경안초등학교앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주019,경기도,광주시,시도,3,현산로,3,,경기도 광주시 초월읍 도평리 212-8,37.39562259,127.2914811607,도평 초등학교 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주018,경기도,광주시,국가지원지방도,98,곤지암로,3,,경기도 광주시 곤지암읍 곤지암리 580,37.349941,127.3385153957,곤지암우체국앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주017,경기도,광주시,기타,,문화로,3,,경기도 광주시 역동 1-209,37.40768588,127.2544517,해태아파트앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주016,경기도,광주시,기타,,경안로,3,,경기도 광주시 경안동 57-8,37.40981045,127.2584409,연세비뇨기과앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주015,경기도,광주시,기타,,경안로,3,,경기도 광주시 경안동 20-64,37.41008768,127.2600979584,참조은병원 앞,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
광주014,경기도,광주시,시도,28,파발로,3,,경기도 광주시 경안동 101-3,37.41369488,127.2571261,농협주유소,4,0,,,,,경기도 광주시청,031-760-2102,2026-03-30,5540000,경기도 광주시
