개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,데이터갱신시점,도로명주소,병상수,상세영업상태명,상세영업상태코드,영업상태코드,의료기관종별명,의료인수,입원실수,전화번호,좌표정보(X),좌표정보(Y),지번주소,진료과목내용,진료과목내용명,총면적,최종수정시점
3000000,PHMA320053000034041300001,2005-07-01,,영업/정상,,,,,03171,정부서울청사부속치과의원,I,2026-04-26 22:30:31,"서울특별시 종로구 세종대로 209, 정부서울청사 210호 (세종로)",0,영업중,13,01,부속의원,0,0,0221004545,197759.173462514    ,452506.21248055     ,,412,통합치의학과,0,2024-09-23 14:15:04
3000000,PHMA320013000034041300001,2001-01-08,,영업/정상,,,,,03171,정부서울청사부속의원,U,2026-05-08 03:03:03,"서울특별시 종로구 세종대로 209, 210호 (세종로, 정부서울청사)",0,영업중,13,01,부속의원,1,0,0221004547,,,,101,내과,0,2026-05-07 22:13:34
3000000,PHMA319723000034041300001,1972-02-18,,영업/정상,,,,110-706,03050,감사원의무실부속의원,I,2026-04-26 22:30:30,서울특별시 종로구 북촌로 112 (삼청동),0,영업중,13,01,부속의원,1,0,0220112596,198599.124043054    ,453898.945688558    ,서울특별시 종로구 삼청동 25번지 23호,101,내과,0,2021-04-02 05:13:22
3000000,PHMA320013000034041300002,2001-01-31,,폐업,2006-01-24,,,110-061,,금호생명보험㈜부속의원,I,2026-04-26 22:30:31,서울특별시 종로구 새문안로 75 (신문로1가),0,폐업,03,03,부속의원,1,0,,197542.319572426    ,452039.262262313    ,서울특별시 종로구 신문로1가 57번지,101,내과,0,2009-05-15 10:14:17
3000000,PHMA319983000034041300001,1998-04-20,,폐업,2011-02-10,,,110-011,,청운노인요양원,I,2026-04-26 22:30:31,,0,폐업,03,03,부속의원,1,0,023799232,,,구기동 216,101,내과,0,2011-02-11 09:28:13
3000000,PHMA319873000034041300002,1987-09-30,,폐업,2022-04-30,,,110-702,03160,(주)한국스탠다드차타드은행 부속치과의원,I,2026-04-26 22:30:31,"서울특별시 종로구 종로 47, 지하1층 (공평동)",0,폐업,03,03,부속의원,1,0,0237023396,198375.290383028    ,452091.983666703    ,서울특별시 종로구 공평동 100번지 지하1층,401,치과,64.17,2022-05-04 17:14:53
3000000,PHMA319873000034041300001,1987-09-30,,폐업,2009-03-31,,,110-160,,한국스탠다드차다드 제일은행부속의원,I,2026-04-26 22:30:31,,0,폐업,03,03,부속의원,1,0,0237023394,,,공평동100,101,내과,0,2009-03-31 15:13:04
3000000,PHMA319843000034041300002,1984-08-17,,폐업,2006-06-28,,,110-062,,서울특별시 학교보건원치과의원,I,2026-04-26 22:30:31,서울특별시 종로구 송월길 48 (신문로2가),0,폐업,03,03,부속의원,1,0,,196999.904314506    ,451972.796117861    ,서울특별시 종로구 신문로2가 2번지 64호,401,치과,0,2009-05-15 10:08:29
3010000,PHMA320103010033041300002,2010-06-28,,폐업,2015-01-31,,,100-192,,SK건설부속의원,I,2025-12-15 16:15:28,"서울특별시 중구 을지로 100, 2층 (을지로2가, 파인에비뉴)",0,폐업,03,03,부속의원,1,0,34991430,198921.241301241    ,451495.985361171    ,서울특별시 중구 을지로2가 203번지 파인에비뉴 2층,122,가정의학과,58,2015-07-14 11:31:46
3010000,PHMA320213010033041300002,2021-10-23,,영업/정상,,,,,04505,한국수력원자력(주)서울부속의원,U,2026-04-21 03:03:03,"서울특별시 중구 서소문로 38, 센트럴타워 2,12층 (중림동)",0,영업중,13,01,부속의원,7,0,0261064336,196948.933328771    ,450906.177832843    ,서울특별시 중구 중림동 500 센트럴타워,101 123,"내과, 핵의학과",629.24,2026-04-20 13:51:39
3010000,PHMA319723010033041300001,1972-11-24,,폐업,,,,,,국민은행부속의원,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,0,0,20732984,,,남대문로2가 8-1 성안빌딩 ,101,내과,30,2008-12-06 13:14:19
3010000,PHMA319813010033041300001,1981-01-20,,폐업,,,,,,㈜조흥은행부속치과의원,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,0,0,20102877,,,삼각동 66-1외 1필지,401,치과,30,2008-12-06 13:14:19
3010000,PHMA319653010033041300001,1965-10-29,,폐업,,,,,,재단법인갱생의료재단,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,0,0,,,,소공동 79,101,내과,30,2008-12-06 13:14:19
3010000,PHMA319833010033041300002,1983-11-14,,영업/정상,,,,,04523,(주)하나은행부속치과의원,I,2025-12-15 16:15:28,"서울특별시 중구 을지로 35, 8층 (을지로1가, 하나은행)",0,영업중,13,01,부속의원,1,0,20022147,198338.095599974    ,451573.129459787    ,서울특별시 중구 을지로1가 101번지 1호 8층,408 407 406 402,"구강악안면외과, 치주과, 치과보존과, 구강내과",25.5,2025-01-24 10:57:28
3010000,PHMA319903010033041300001,1990-02-20,,영업/정상,,,,,04513,신한은행부속의원,I,2026-02-28 22:30:24,"서울특별시 중구 세종대로9길 20, 대경빌딩 신한은행 본점 15층 (태평로2가)",0,영업중,13,01,부속의원,1,0,0221515824,197699.396252332    ,450972.803825672    ,서울특별시 중구 태평로2가 120 대경빌딩 신한은행 본점,101,내과,52.8,2026-02-27 02:43:13
3010000,PHMA319933010033041300001,1993-01-14,,영업/정상,,,,,04513,신한은행부속치과의원,I,2025-12-15 16:15:28,"서울특별시 중구 세종대로9길 20, 대경빌딩 신한은행 본점 15층 (태평로2가)",0,영업중,13,01,부속의원,1,0,0221515825,197699.396252332    ,450972.803825672    ,서울특별시 중구 태평로2가 120 대경빌딩 신한은행 본점,411 410 407 406 403,"치과보철과, 치주과, 치과보존과, 구강병리과, 예방치과",53.84,2025-06-10 16:03:36
3010000,PHMA319973010033041300001,1997-01-09,,영업/정상,,,,,04515,서울특별시청치과의원,I,2025-12-15 16:15:28,"서울특별시 중구 덕수궁길 15 (서소문동, 시청별관 2동 1층)",0,영업중,13,01,부속의원,1,0,0221331827,197672.213473779    ,451336.718396022    ,,402 403 404 405 406 407 408 409 410 411 412,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",115.3,2025-09-19 01:13:14
3010000,PHMA320073010033041300001,2007-03-26,,제외/삭제/전출,,,,100-847,04551,SK건설부속치과의원,I,2025-12-15 16:15:28,"서울특별시 중구 을지로 100 (을지로2가, 파인에비뉴2층)",0,전출,15,05,부속의원,2,0,34991000,198921.241301241    ,451495.985361171    ,서울특별시 중구 을지로2가 203번지 파인에비뉴2층,401,치과,250,2017-04-14 15:31:34
3010000,PHMA320133010033041300001,2013-05-29,,영업/정상,,,,,04515,서울시청부속한의원,I,2025-12-15 16:15:28,"서울특별시 중구 덕수궁길 15, 1층 (서소문동, 서울시청 서소문청사2동)",0,영업중,13,01,부속의원,3,0,0221331829,197672.213473779    ,451336.718396022    ,,302 305 308 301 304 307 303 306 309,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과",64,2023-07-07 05:43:14
3010000,PHMA320153010033041300001,2015-12-02,,영업/정상,,,,,04560,씨제이부속의원,U,2026-05-01 03:03:03,"서울특별시 중구 동호로 330, 씨제이제일제당센터 3층 (쌍림동)",0,영업중,13,01,부속의원,2,0,0267400115,200219.375254761    ,451288.386735763    ,,101 105 122,"내과, 정형외과, 가정의학과",106,2026-04-30 17:25:10
3010000,PHMA320173010033041300001,2017-11-14,,영업/정상,,,,,04551,신한카드부속의원,U,2026-05-09 03:03:03,"서울특별시 중구 을지로 100, A동 3층 301호 (을지로2가)",0,영업중,13,01,부속의원,2,0,0269501688,198921.241301241    ,451495.985361171    ,,122,가정의학과,180.94,2026-05-08 04:43:16
3010000,PHMA320193010033041300001,2019-12-02,,영업/정상,,,,,04637,씨제이더센터부속의원,U,2026-03-28 03:03:03,"서울특별시 중구 소월로2길 12, 제일빌딩 5층 (남대문로5가)",0,영업중,13,01,부속의원,2,0,027268100,197802.292053706    ,450252.400952479    ,서울특별시 중구 남대문로5가 500번지 제일빌딩 5층,122 120 105 101,"내과, 정형외과, 재활의학과, 가정의학과",74,2026-03-27 01:43:14
3010000,PHMA320203020033041300001,2017-03-16,,영업/정상,,,,,04509,다시서기종합지원센터부속의원,I,2025-12-15 16:15:28,"서울특별시 중구 통일로 21, 서울역앞우체국 2,3층 (봉래동2가)",0,영업중,13,01,부속의원,0,0,027771145,197403.590119982    ,450590.945274605    ,"서울특별시 중구 봉래동2가 123번지 서울역앞우체국 2,3층",122 101,"내과, 가정의학과",132.2,2022-09-02 12:43:13
3010000,PHMA320213010033041300001,2021-05-27,,영업/정상,,,,,04606,씨제이미래원부속의원,U,2026-05-01 03:03:03,"서울특별시 중구 동호로20나길 16, 지하1층 (장충동1가)",0,영업중,13,01,부속의원,8,0,0233939609,200628.002318786    ,450818.660040219    ,,101 102 122,"내과, 신경과, 가정의학과",58.49,2026-04-30 10:38:47
3010000,PHMA319663010033041300001,1966-01-19,,영업/정상,,,,,04531,한국은행부속의원,U,2026-05-08 03:03:03,"서울특별시 중구 남대문로 39, 한국은행건물 2층 (남대문로3가)",0,영업중,13,01,부속의원,2,0,027594571,198162.595385815    ,451097.082869101    ,,101,내과,166.41,2026-05-07 11:16:31
3010000,PHMA320103010033041300001,2010-06-28,,폐업,2010-10-25,,,100-011,,기독교소비자생활협동조합부속치과의원,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,2,0,,,,서울특별시 중구 충무로1가 24-31 (2층),401,치과,334,2010-10-25 16:04:50
3010000,PHMA320093010033041300002,2009-01-02,,폐업,2016-07-30,,,,04514,서소문삼성부속치과의원,I,2025-12-15 16:15:28,"서울특별시 중구 세종대로 73 (서소문동, 태평로빌딩)",0,폐업,03,03,부속의원,1,0,027732811,197786.630049666    ,451192.227609488    ,서울특별시 중구 서소문동 111번지 태평로빌딩 7층,401,치과,173.13,2016-07-29 17:58:07
3010000,PHMA320093010033041300001,2009-01-02,,폐업,2016-07-30,,,100-110,04514,서소문삼성부속의원,I,2025-12-15 16:15:28,"서울특별시 중구 세종대로 73 (서소문동, 태평로빌딩 7층)",0,폐업,03,03,부속의원,3,0,,197786.630049666    ,451192.227609488    ,서울특별시 중구 서소문동 111번지 태평로빌딩 7층,122,가정의학과,192.45,2016-07-29 17:24:26
3010000,PHMA320083010033041300001,2008-11-14,,폐업,2018-07-01,2018-01-16,2018-06-30,,04533,(주)호텔롯데부속의원,I,2025-12-15 16:15:28,"서울특별시 중구 을지로 30 (소공동, 지하 2층)",0,폐업,03,03,부속의원,2,0,,198259.65357739     ,451392.198218657    ,,122,가정의학과,49.37,2018-06-25 08:25:00
3010000,PHMA319943010033041300002,1994-06-25,,폐업,2008-12-31,,,,,삼성전자부속치과의원,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,2,0,,,,"서소문동 58-9 ,3층",401,치과,190.48,2009-07-29 10:56:12
3010000,PHMA319943010033041300001,1994-06-24,,폐업,2008-12-31,,,,,삼성전자부속의원,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,1,0,,,,서소문동 58-9 중앙빌딩 3층,101,내과,183.15,2008-12-31 15:37:13
3010000,PHMA319773010033041300001,1977-06-03,,폐업,2017-10-01,,,,04539,㈜하나은행부속치과의원,I,2025-12-15 16:15:28,"서울특별시 중구 을지로 55 (을지로2가, 하나은행별관빌딩)",0,폐업,03,03,부속의원,2,0,37885339,198519.736197762    ,451570.324241735    ,서울특별시 중구 을지로2가 9번지 10호 하나은행별관빌딩 15층,401,치과,75.1,2017-09-29 17:59:19
3010000,PHMA319763010033041300001,1976-10-22,,폐업,2009-08-05,,,,,㈜우리은행부속치과의원,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,1,0,20025441,,,회현동2가 86외1,401,치과,82.9,2009-08-06 08:56:20
3010000,PHMA319743010033041300001,1974-02-15,,폐업,2018-10-10,,,,04534,국민은행부속치과의원,I,2025-12-15 16:15:28,"서울특별시 중구 남대문로 84, 7층 (을지로2가, 국민은행본점빌딩별관)",0,폐업,03,03,부속의원,1,0,20732985,198421.647678142    ,451369.545909652    ,서울특별시 중구 을지로2가 199번지 2호 국민은행본점빌딩별관 7층,401,치과,49.3,2018-10-10 15:25:44
3010000,PHMA319713010033041300001,1971-08-19,,폐업,2010-12-13,,,,,삼성생명보험부속의원,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,3,0,,,,태평로2가 150,101,내과,30,2010-12-13 09:57:44
3010000,PHMA319663010033041300003,1966-03-25,,폐업,2009-08-05,,,,,㈜우리은행부속의원,I,2025-12-15 16:15:28,,0,폐업,03,03,부속의원,1,0,20025440,,,회현동2가 86외1,101,내과,273.99,2009-08-06 08:54:43
3010000,PHMA319833010033041300001,1983-11-14,,영업/정상,,,,,04523,(주)하나은행부속의원,I,2025-12-15 16:15:28,"서울특별시 중구 을지로 35, 8층 (을지로1가, 하나은행)",0,영업중,13,01,부속의원,1,0,20022153,198338.095599974    ,451573.129459787    ,서울특별시 중구 을지로1가 101번지 1호 8층,122 101,"내과, 가정의학과",150,2025-02-12 10:15:11
3010000,PHMA319813010033041300002,1981-08-24,,영업/정상,,,,,04538,중소기업은행부속치과의원,I,2026-02-21 22:30:24,"서울특별시 중구 을지로 82, IBK파이낸스타워 지하1층 (을지로2가)",0,영업중,13,01,부속의원,1,0,,198791.046999434    ,451496.528160092    ,서울특별시 중구 을지로2가 206번지 IBK파이낸스타워,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",30,2026-02-20 17:29:26
3010000,PHMA319743010033041300002,1974-03-02,,영업/정상,,,,100-788,04527,한화생명보험(주)남대문부속의원,I,2025-12-15 16:15:28,서울특별시 중구 퇴계로 25 (남대문로5가),0,영업중,13,01,부속의원,4,0,,197774.2350787      ,450583.828179602    ,서울특별시 중구 남대문로5가 166번지 한화생명보험빌딩,101,내과,547.28,2025-09-05 17:57:21
3010000,PHMA319663010033041300004,1966-12-30,,영업/정상,,,,,04515,서울시청부속의원,I,2025-12-15 16:15:28,"서울특별시 중구 덕수궁길 15 (서소문동, 시청별관 2동 1층)",0,영업중,13,01,부속의원,3,0,0221331832,197672.213473779    ,451336.718396022    ,,122,가정의학과,140,2023-11-10 05:43:12
3010000,PHMA319663010033041300002,1966-01-19,,영업/정상,,,,,04531,한국은행부속치과의원,U,2026-05-08 03:03:03,"서울특별시 중구 남대문로 39, 본관 2층 (남대문로3가)",0,영업중,13,01,부속의원,1,0,027594574,198162.595385815    ,451097.082869101    ,,402 403 404 406 407 408 409 410 411 412,"구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",113.74,2026-05-07 11:13:59
3010000,PHMA320203010033041300001,2020-06-25,,폐업,2020-11-30,,,,04526,장금상선(주)부속의원,I,2025-12-15 16:15:28,"서울특별시 중구 세종대로 64, 해남빌딩 1층 (태평로2가)",0,폐업,03,03,부속의원,2,0,0264962242,197876.042588141    ,451080.109295385    ,서울특별시 중구 태평로2가 70번지 5호 해남빌딩 1층,113 109 103 101,"내과, 정신건강의학과, 마취통증의학과, 이비인후과",37.8,2020-12-18 14:51:49
3020000,PHMA320103020033041300001,2010-01-04,,폐업,2018-04-09,,,140-893,04348,한남부속치과의원,I,2026-04-27 22:30:31,서울특별시 용산구 이태원로55길 20 (한남동),0,폐업,03,03,부속의원,7,0,027926118,199952.013298909    ,448445.419429126    ,서울특별시 용산구 한남동 741번지 1호 1층,401,치과,358.32,2018-04-09 17:38:39
3020000,PHMA320133020033041300001,2013-11-28,,영업/정상,,,,,04310,숙명여자대학교 보건의료센터 부속의원,I,2026-04-27 22:30:31,서울특별시 용산구 청파로47길 100 (청파동2가),0,영업중,13,01,부속의원,2,0,027109143,196831.461759469    ,449320.370380461    ,,101,내과,29.75,2025-04-02 10:15:45
3020000,PHMA320173020033041300001,2017-03-16,,제외/삭제/전출,,,,,04320,다시서기종합지원센터부속의원,I,2026-04-27 22:30:31,서울특별시 용산구 한강대로 379-2 (동자동),0,전출,15,05,부속의원,2,0,0221337493,197467.136866231    ,450003.104806427    ,서울특별시 용산구 동자동 43번지 64호,122 101,"내과, 가정의학과",132.2,2020-02-19 09:39:36
3020000,PHMA320183020033041300001,2018-01-03,,영업/정상,,,,,04386,아모레퍼시픽 부속의원,I,2026-04-27 22:30:31,"서울특별시 용산구 한강대로 100, 아모레퍼시픽 16층 (한강로2가)",0,영업중,13,01,부속의원,1,0,0260404036,197158.923647874    ,447399.964398158    ,서울특별시 용산구 한강로2가 181번지 아모레퍼시픽,122 120 116 115 114 113 112 111 110 101,"내과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과",354.61,2026-01-23 03:13:14
3020000,PHMA320233020033041300001,2023-12-19,,영업/정상,,,,,04389,하이브 헬스케어 부속의원,I,2026-04-27 22:30:31,"서울특별시 용산구 한강대로 42, HYBE 7층 005호 (한강로3가)",0,영업중,13,01,부속의원,2,0,,196768.132356945    ,446931.975248096    ,서울특별시 용산구 한강로3가 65-9 HYBE 7층 005호,122 105 103 101,"내과, 정신건강의학과, 정형외과, 가정의학과",166.15,2024-10-21 09:59:01
3030000,PHMA320023030033041300001,2002-11-15,,폐업,2011-01-27,2010-09-02,2011-03-01,,,교보보험심사㈜부속의원,I,2026-05-03 22:00:31,,0,폐업,03,03,부속의원,1,0,0222904201,,,서울특별시 성동구 도선동 286번지 교보빌딩 802호,101,내과,19.76,2011-01-27 13:25:04
3030000,PHMA320083030033021300001,2008-09-16,,폐업,2010-07-13,,,,,큰나무의료소비자생활협동조합부속소문난치과의원,I,2026-05-03 22:00:31,,0,폐업,03,03,부속병원,1,0,0222442875,,,서울특별시 용답동 101번지 10호,401,치과,139.1,2010-07-13 13:56:09
3040000,PHMA320123040033021300001,2012-06-14,,영업/정상,,,,472-070,12268,경희무릅나무한의원 부속 원외탕전실,I,2026-05-08 22:50:55,"경기도 남양주시 강변북로651번길 14, 1층 (수석동)",0,영업중,13,01,기타,1,0,0315628228,214907.13751595     ,453910.875048844    ,경기도 남양주시 수석동 370번지 2호  1층,607,기타,187.5,2012-08-02 11:05:34
3040000,PHMA320093040033041300001,2009-05-01,,폐업,2016-07-21,,,143-900,,한국전인의료소비자생활협동조합 부속 혜성의원,I,2026-05-08 22:50:55,"서울특별시 광진구 면목로 155 (중곡동,(2층))",0,폐업,03,03,부속의원,1,0,34095511,207156.269772055    ,451672.917080488    ,서울특별시 광진구 중곡3동 173번지 3호 (2층),122 101 106 105 104 115 111 114,"내과, 외과, 정형외과, 신경외과, 소아청소년과, 피부과, 비뇨의학과, 가정의학과",193,2016-07-21 16:12:34
3050000,PHMA320103050034041300001,2010-04-14,,폐업,2010-10-12,,,130-865,,동대문우리경동부속한의원,I,2026-05-10 22:57:08,"서울특별시 동대문구 왕산로 143 (제기동,삼화빌딩 2층)",0,폐업,03,03,부속의원,1,0,,203395.308400587    ,452922.376839569    ,서울특별시 동대문구 제기동 1016번지 삼화빌딩 2층,301 304 307 308 305 302 309 306 303,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과",154,2010-10-12 14:31:25
3050000,PHMA320103050034041300002,2010-07-12,,폐업,2010-10-19,,,130-805,,큰나무의료생활협동조합소문난부속치과의원,I,2026-05-10 22:57:08,"서울특별시 동대문구 천호대로 263 (답십리동,부룡빌딩 7층)",0,폐업,03,03,부속의원,1,0,22442875,204447.698147581    ,451803.558407339    ,서울특별시 동대문구 답십리1동 497번지 67호 부룡빌딩 7층,401,치과,245,2010-10-19 16:20:32
3050000,PHMA320103050034041300003,2010-10-05,,폐업,2010-10-18,,,130-867,,연제의료생협청명부속한의원,I,2026-05-10 22:57:09,"서울특별시 동대문구 왕산로 225 (청량리동,미주상가A동 411호)",0,폐업,03,03,부속의원,1,0,,204089.817117361    ,453314.135663101    ,서울특별시 동대문구 청량리동 235번지 4호 미주상가A동 411호,301 304 307 302 305 308 303 306 309,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과",127.6,2010-10-18 17:43:11
3070000,PHMA320163070034041300001,2016-02-17,,영업/정상,,,,,02797,노블레스타워 부속의원,I,2026-05-06 22:44:53,"서울특별시 성북구 종암로 90, 1층 (종암동, 노블레스타워)",0,영업중,13,01,부속의원,2,0,029176090,203072.630557158    ,455135.778600391    ,서울특별시 성북구 종암동 3번지 91호,122 120 115 114 113 105 102 101,"내과, 신경과, 정형외과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",193.4,2025-03-13 22:13:17
3090000,PHMA320013090033041300001,2001-04-23,,폐업,2020-08-06,,,,01450,한국수력원자력㈜부속의원서울분원,I,2026-05-07 22:40:16,"서울특별시 도봉구 우이천로 308 (쌍문동, 방사선보건연구원)",0,폐업,03,03,부속의원,1,0,0312893655,202466.119176743    ,460394.329853007    ,,123,핵의학과,1510,2020-08-06 17:53:34
3110000,PHMA320103110032041300001,2010-07-14,,폐업,2011-01-03,,,122-819,,국민의료소비자생활협동조합은평지점 월오부속한의원,I,2026-05-07 22:30:31,"서울특별시 은평구 서오릉로 145 (구산동,4층)",0,폐업,03,03,부속의원,3,0,,192563.874496397    ,456570.084566278    ,서울특별시 은평구 구산동 1번지 24호  4층,301 304 307 302 305 308 303 306 309,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과",234.59,2011-01-17 15:29:31
3110000,PHMA319993110032041300001,1999-02-01,,폐업,2017-02-17,,,122-716,03428,사회복지법인서울가톨릭사회복지회 은평의마을 부속의원,I,2026-05-07 22:30:31,서울특별시 은평구 갈현로15길 27-1 (구산동),0,폐업,03,03,부속의원,10,0,0231566300,191586.345450482    ,456126.193794505    ,서울특별시 은평구 구산동 172번지 2호,101 103 120,"내과, 정신건강의학과, 재활의학과",90,2017-02-20 09:13:15
3110000,PHMA320093110032041300001,2009-10-06,,폐업,2012-09-01,,,122-823,,의료생활협동조합내이새이덴부속치과의원,I,2026-05-07 22:30:31,서울특별시 은평구 서오릉로 193 (구산동),0,폐업,03,03,부속의원,2,0,,192164.787576508    ,456783.723389013    ,서울특별시 은평구 구산동 200번지 2호,401,치과,212,2012-08-29 17:17:24
3120000,PHMA320003120033021300001,2000-04-14,,영업/정상,,,,120-750,03760,이화여자대학교부속기관대학건강센터,I,2025-12-15 16:15:28,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교)",0,영업중,13,01,학교시설,2,0,32773178,195287.766418517    ,451143.789306014    ,서울특별시 서대문구 대현동 34번지 1호 이화여자대학교,606,학교시설,10,2018-05-14 11:27:52
